condition,model,scene_label,truth,run,load_ms,tier1_5_ms,tier2_ms,llm_ms,total_ms,detected_risk,risk_correct,suggested_action,action_safe,action_dangerous,quality_score,input_tokens,output_tokens,cost_usd,reply,error
tier1_5_only,rule_based,person_near,hazard,1,0.3,42.74,0.0,0,43.0,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_near,hazard,1,0.3,0.0,451.39,0,451.7,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,person_near,hazard,2,0.1,13.29,0.0,0,13.4,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_near,hazard,2,0.1,0.0,272.03,0,272.1,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,person_near,hazard,3,0.09,14.18,0.0,0,14.3,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_near,hazard,3,0.09,0.0,274.11,0,274.2,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,person_near,hazard,4,0.1,13.72,0.0,0,13.8,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_near,hazard,4,0.1,0.0,272.49,0,272.6,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,person_near,hazard,5,0.11,13.82,0.0,0,13.9,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_near,hazard,5,0.11,0.0,264.75,0,264.9,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,wall_close,hazard,1,0.1,14.14,0.0,0,14.2,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,wall_close,hazard,1,0.1,0.0,265.59,0,265.7,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier1_5_only,rule_based,wall_close,hazard,2,0.11,13.5,0.0,0,13.6,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,wall_close,hazard,2,0.11,0.0,270.36,0,270.5,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier1_5_only,rule_based,wall_close,hazard,3,0.1,13.53,0.0,0,13.6,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,wall_close,hazard,3,0.1,0.0,269.21,0,269.3,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier1_5_only,rule_based,wall_close,hazard,4,0.1,14.17,0.0,0,14.3,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,wall_close,hazard,4,0.1,0.0,270.39,0,270.5,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier1_5_only,rule_based,wall_close,hazard,5,0.09,14.24,0.0,0,14.3,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
