cmd_idx,command,cmd_type,n_correct,n_runs,success_rate,wilson_ci_lo,wilson_ci_hi,increment_mean_m,increment_std_m
1,go to 2 metres,explicit,15,15,1.0,0.796,1.0,-4.036,13.569
2,climb to 2m,paraphrase,15,15,1.0,0.796,1.0,5.544,12.519
3,go higher,relative_no_num,8,15,0.533,0.301,0.752,0.85,3.176
4,go up a bit,vague_relative,1,15,0.067,0.012,0.298,-1.287,3.454
5,ascend slowly to a safe height,abstract,1,15,0.067,0.012,0.298,-0.009,1.397
6,I want it higher,indirect,4,15,0.267,0.109,0.52,-0.186,2.735
REF_ReAct,"Yao, S., Zhao, J., Yu, D., Du, N., Shafran, I., Narasimhan, K., & Cao, Y. (2022). ReAct: Synergizing Reasoning and Acting in Language Models. arXiv:2210.03629. Agent loop that processes ambiguous commands via reason→act→observe.",,,,,,,,
REF_Vemprala2023,"Vemprala, S., Bonatti, R., Bucker, A., & Kapoor, A. (2023). ChatGPT for Robotics: Design Principles and Model Abilities. MSR-TR-2023-8. arXiv:2306.17582. Benchmark for NL command interpretation rates on UAV tasks.",,,,,,,,
REF_InnerMonologue,"Huang, W., et al. (2022). Inner Monologue: Embodied Reasoning through Planning with Language Models. arXiv:2207.05608. Explains how the LLM infers intent from conversation context without explicit clarification.",,,,,,,,
OVERALL,all commands,,44,90,0.489,0.388,0.59,0.146,8.383
