condition,model,scene_label,truth,run,yolo_type,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
yolo_enhanced_only,yolo_enhanced,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,1,0,0,1,0,0,0,57.95,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,1,0,0,1,0,0,0,55.18,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,1,0,0,1,0,0,0,55.65,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,1,0,0,1,0,0,0,56.62,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,1,0,0,1,0,0,0,55.57,0,0,0.0,,
llm_only,claude,person_near,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,64,3564.5,529,97,0.003042,"Description: A person is standing/leaning forward in what appears to be an indoor workshop or store, positioned centrally in the frame and appearing large in the image, suggesting they are close to the drone.
Proximity: The person appears to be approximately 1–1.5m from the drone, occupying a large portion of the frame and directly in the flight path.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,person_near,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,47,4867.1,433,62,0.003095,"Description: The image shows a person standing indoors, leaning forward with their hands behind their back. There is a chair and some furniture in the background.
Proximity: The person appears to be very close, likely within 1 meter of the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o_mini,person_near,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,43,2347.1,3200,56,0.000514,"Description: The image shows a person bending forward in a dimly lit indoor space with some clutter in the background, including furniture and a chair. 
Proximity: The person appears to be within 1 meter of the drone.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gemini,person_near,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,43,2563.3,639,60,6.6e-05,"Description: A person is directly in front of the drone, bending over. The background appears to be an indoor space with some clutter.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,claude,person_near,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,61,4607.5,529,94,0.002997,"Description: A person is leaning forward aggressively in what appears to be an indoor workspace/shop, positioned centrally in the frame and appearing to be very close to the camera/drone.
Proximity: The person appears to be approximately 1m or less from the drone, occupying a large portion of the frame and leaning directly toward the camera.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,person_near,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,44,3179.7,433,60,0.003065,"Description: The image shows a person standing indoors, bending slightly forward. There is furniture in the background, including a chair and a desk.
Proximity: The person appears to be very close, likely within 1 meter of the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o_mini,person_near,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,38,2084.7,3200,50,0.00051,"Description: The image shows a person bending forward in a dimly lit indoor space with some clutter in the background. 
Proximity: The person appears to be within 1 meter of the drone.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gemini,person_near,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,43,3440.8,639,60,6.6e-05,"Description: A person is directly in front of the drone, bending over. The background appears to be an indoor room with various objects.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
