model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,person_near,hazard,1,0.12,29.9,hazard,462.34,8513.2,9005.6,0,yolo-world,disabled,disabled,0.0,caution,0,3,974,279,0.007107,"Description: A person is standing in what appears to be an indoor workshop or storage room, with their arms raised, at what appears to be a moderate distance from the camera; shelving and equipment are visible in the background.

Sensor note: The local detector estimates the person at 0.24m which appears inconsistent with visual analysis — the person looks to be approximately 2–3m away based on their apparent size and the room context. The 0.24m estimate is likely a geometric heuristic error (est_dist, not DepthAnything v2), and my visual analysis overrides this reading.

Proximity: Closest object is the person, visually estimated at ~2–3m; the wall detection at 0.45m (DepthAnything v2) may reflect side walls or shelving within the room rather than a direct forward obstacle at 1m flight height.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** The person is not dangerously close based on visual analysis, but their raised arms and presence in the flight corridor at ~1m altitude warrant caution. Hovering is appropriate until the person's intent is clear and a safe path is confirmed. The room also shows clutter and shelving that reduce navigable space.",
gpt4o,person_near,hazard,1,0.12,29.9,hazard,462.34,3077.2,3569.6,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,1,0.12,29.9,hazard,462.34,4445.3,4937.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,115,0.000602,"Description: The image shows a person standing in a room with various objects around, including a chair and what appears to be furniture in the background. The person is relatively close to the camera, likely within 1 meter. 

Sensor note: The local detector indicates a person detected with a confidence of 0.455 at an estimated distance of 0.24m, which is consistent with my visual analysis.

Proximity: The closest object/person is the individual, estimated to be about 0.5m away.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_near,hazard,1,0.12,29.9,hazard,462.34,1964.6,2457.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,2,0.57,41.33,hazard,280.04,7703.0,8024.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,170,0.005472,"Description: A person is standing in the foreground of what appears to be an indoor workshop/storage room, with both arms raised, positioned close to the camera/drone at an estimated distance of under 2 meters.
Sensor note: The local detector estimates 0.24m which seems too close given the full-body visibility, but the person is clearly within 1-2m range; the wall depth of 0.45m from YOLO-W is likely a misclassification of the person or nearby surface.
Proximity: Person visually estimated at approximately 1.0–1.5m from the drone, well within the hazard threshold of <1m to 2m blocking the flight path.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,2,0.57,41.33,hazard,280.04,2874.4,3196.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,2,0.57,41.33,hazard,280.04,3778.5,4100.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,96,0.000591,"Description: The image shows a person standing in a room with various objects around, including a chair and what appears to be furniture in the background. The person is relatively close to the drone's flight path. 

Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 

Proximity: The closest object/person is approximately 0.24m away. 

Risk: hazard  
Pilot suggested action: HOVER",
gemini,person_near,hazard,2,0.57,41.33,hazard,280.04,2257.1,2579.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,123,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,3,0.52,28.04,hazard,263.78,5919.6,6211.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,185,0.005697,"Description: A person is standing in what appears to be an indoor workshop or storage area, facing the camera with arms raised, positioned centrally in the frame and appearing to be relatively close to the camera/drone.
Sensor note: Local detector estimates 0.24m distance which seems too close given the full-body visibility, but the person is clearly within 1-2m range; the wall detection at 0.45m is plausible for background clutter. Person presence is confirmed visually.
Proximity: Person appears to be approximately 1.5-2.5m away visually (full body visible, moderate frame fill), though sensor est_dist of 0.24m via geometric fallback is likely an overestimate of closeness — still within hazard-relevant range.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,3,0.52,28.04,hazard,263.78,2284.1,2576.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,80,0.005145,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being 0.24m away is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
