strategy,model,seq,frame_num,scene_label,expected_risk,call_source,in_hazard,local_ms,local_risk,local_trigger,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,latency_ms,cost_usd,reply,error
scheduled,claude,1,1,door_open,safe,scheduled,0,38.1,safe,0,"YOLO detections: window (conf=0.32, depth_m=4.0m [DA v2], src=YOLO-W, bbox=[0.7,0.1,319.5,239.5])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=121/255 (none)",disabled,disabled,0.0,caution,0,8230.2,0.006243,"Description: The image shows an industrial or warehouse interior with metal-framed glass partitions/walls, ceiling-mounted lights, and open space beyond; the area appears navigable at ~1m altitude with no immediate obstacles in the foreground flight path.
Sensor note: YOLO-World detected a window at 4.0m depth — consistent with the visible glass partition structure seen in the image; no persons or close obstacles detected by sensors or visually confirmed.
Proximity: Closest structural element (glass/metal frame partition) appears approximately 1.5–2m ahead, consistent with the 4.0m sensor reading being to the far wall beyond the partition opening.
Risk: caution
Pilot suggested action: HOVER — pause to assess the glass partition framing ahead before proceeding; the reflective glass surfaces pose a navigation risk as depth perception through transparent/reflective surfaces may be unreliable; recommend YAW_LEFT or YAW_RIGHT to survey the open corridor before committing to PITCH_FORWARD.",
scheduled,claude,1,6,person_near,hazard,scheduled,1,12.97,hazard,1,"YOLO detections: wall (conf=0.25, depth_m=0.6m [DA v2], src=YOLO-W, bbox=[0.5,0.4,319.6,232.9]); shelf (conf=0.17, depth_m=0.57m [DA v2], src=YOLO-W, bbox=[288.8,61.4,320.0,214.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.797, est_dist=0.2m); brightness=122/255 (none)",disabled,disabled,0.0,hazard,1,5697.5,0.005466,"Description: A person is standing very close to the camera/drone, occupying the majority of the frame, appearing to be within approximately 0.5m or less based on their large apparent size filling the field of view.
Sensor note: The local detector reports a person at est_dist=0.2m (geometric heuristic), which is consistent with my visual analysis — the person is extremely close. YOLO detections of wall/shelf are secondary concerns given the immediate human obstacle.
Proximity: Person approximately 0.2–0.5m directly in front of the drone — immediate hazard range; consistent with local detector est_dist=0.2m.
Risk: hazard
Pilot suggested action: LAND",
scheduled,claude,2,1,door_open,safe,scheduled,0,14.03,safe,0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=119/255 (none)",disabled,disabled,0.0,hazard,0,7076.4,0.006126,"Description: The image shows a large indoor industrial or warehouse-like space with glass-partitioned office sections, metal shelving/racking, and overhead fluorescent lighting; the immediate foreground shows glass and metal frame structures at roughly drone height, with open space visible deeper into the facility.
Sensor note: The 'train' detection (conf=0.22, COCO) at 3.6m is likely a misclassification — no train is visible; this is probably a structural element or shelving unit. The 'window' detection at 3.2m is consistent with the glass partitioning visible in the image. Overall sensor confidence is low.
Proximity: The closest obstacle is the glass/metal partition frame visible in the near foreground, estimated visually at approximately 0.5–1m; this is closer than the sensor-reported depths and represents the primary hazard.
Risk: caution
Pilot suggested action: HOVER",
scheduled,claude,2,6,person_near,hazard,scheduled,1,13.11,hazard,1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,0.0,hazard,1,5998.4,0.005547,"Description: A person is standing directly in front of the drone at close range, arms raised, in what appears to be an indoor workshop or storage room with shelving and clutter in the background.
Sensor note: The local detector reports est_dist=0.24m which appears to be a geometric heuristic overestimate of closeness, but visually the person is clearly within 1–2m of the drone — consistent with a hazard classification. The wall detection at 0.45m is likely picking up the person or nearby structure.
Proximity: The person appears to be approximately 1–2m away based on their apparent size filling a large portion of the frame; they are the dominant and closest object — consistent with hazard range.
Risk: hazard
Pilot suggested action: HOVER",
scheduled,claude,3,1,door_open,safe,scheduled,0,13.62,safe,0,"YOLO detections: window (conf=0.23, depth_m=3.48m [DA v2], src=YOLO-W, bbox=[0.3,0.1,319.4,239.9])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=120/255 (none)",disabled,disabled,0.0,hazard,0,10964.7,0.006798,"Description: The image shows a large industrial or warehouse-like interior space with metal-framed glass partitions/walls, open ceiling structure, and good overhead lighting; the flight corridor at ~1m altitude appears open with no immediate obstructions directly ahead.
Sensor note: YOLO-World detected a 'window' at 3.48m depth with low confidence (0.23), which is consistent with the visible glass partition walls; the wide bounding box covering nearly the full frame suggests it's detecting the structural glass framework rather than a discrete obstacle. Consistent overall.
Proximity: Closest structural elements are the metal frame columns visible on the right (~1–1.5m lateral), but the forward flight path at 1m altitude appears open to approximately 3–4m before reaching the glass partition wall.
Risk: caution
Pilot suggested action: PITCH_FORWARD

**Rationale:** The space is navigable but the glass partitions and metal structural elements on the sides warrant reduced speed. The glass walls detected at ~3.48m give adequate stopping distance, but glass is a hazard for collision if misread — proceeding slowly forward is appropriate while continuously monitoring for the partition wall ahead.",
scheduled,claude,3,6,person_near,hazard,scheduled,1,12.97,hazard,1,"YOLO detections: person (conf=0.36, depth_m=0.4m [DA v2], src=COCO, bbox=[133.2,6.2,244.7,238.2]); wall (conf=0.16, depth_m=0.4m [DA v2], src=YOLO-W, bbox=[0.2,0.2,319.2,232.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.625, est_dist=0.21m); brightness=130/255 (none)",disabled,disabled,0.0,hazard,1,5827.5,0.005535,"Description: A person is leaning forward aggressively close to the camera in what appears to be an indoor workspace/lab environment, occupying the majority of the frame and clearly within immediate proximity of the drone.
Sensor note: Consistent — YOLO detects person at 0.4m depth, local detector estimates 0.21m; both align with visual evidence of an extremely close person filling most of the frame. The 0.21m geometric estimate may actually be more accurate given how large the subject appears.
Proximity: Person is visually estimated at approximately 0.2–0.5m — critically close, consistent with both depth readings. This is well within the hazard threshold.
Risk: hazard
Pilot suggested action: LAND",
scheduled,claude,4,1,door_open,safe,scheduled,0,13.85,safe,0,"YOLO detections: train (conf=0.45, depth_m=4.39m [DA v2], src=COCO, bbox=[0.6,0.3,318.7,237.8])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=120/255 (none)",disabled,disabled,0.0,caution,0,8160.1,0.006537,"Description: The image shows an industrial or warehouse interior with metal shelving/storage racks and glass partitions or door frames in the foreground at roughly 1m height; the space appears moderately lit with visible ceiling lights, and no persons are detected in the immediate flight path.
Sensor note: YOLO reports a ""train"" detection at 4.39m with moderate confidence (0.45) — this is almost certainly a misclassification of the industrial shelving or metal framework, which visually resembles structural elements, not a train; overall geometry is consistent with an indoor storage/warehouse environment.
Proximity: The closest obstacle is the metal frame/glass panel structure in the foreground, visually estimated at approximately 1–2m; the depth reading of 4.39m likely refers to background shelving, not the nearest frame which appears closer.
Risk: caution
Pilot suggested action: HOVER — pause to assess the glass partition and metal framing directly ahead before proceeding; consider YAW_LEFT or YAW_RIGHT to find a clearer corridor at ~1m altitude before pitching forward.",
scheduled,claude,4,6,person_near,hazard,scheduled,1,13.08,hazard,1,"YOLO detections: wall (conf=0.22, depth_m=0.5m [DA v2], src=YOLO-W, bbox=[0.3,0.4,319.6,236.0]); column (conf=0.16, depth_m=0.5m [DA v2], src=YOLO-W, bbox=[144.9,10.7,219.3,234.2])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.315, est_dist=0.24m); brightness=125/255 (none)",disabled,disabled,0.0,caution,0,8769.1,0.007566,"Description: A person is standing approximately 2–3 metres away in what appears to be an indoor workshop or storage area, facing the camera directly with arms loosely at their sides; the background shows shelving units, a white chair, and various equipment.
Sensor note: Local detector estimates person at 0.24m which appears inconsistent with the image — the person visually appears to be roughly 2–3m away, not 0.24m; the bounding-box geometric fallback (est_dist) is unreliable here. YOLO-World wall/column detections at 0.5m are plausible for background structures but the flight corridor at ~1m altitude appears partially obstructed by the person.
Proximity: Closest object is the person, visually estimated at ~2–2.5m; cross-checking with sensor est_dist of 0.24m — image analysis overrides, person is NOT sub-metre.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is present in the flight path but visually not dangerously close (<1m threshold not met). However, they are within the ~2–3m caution zone and facing the drone, creating an unpredictable dynamic. The cluttered workshop environment with shelving and objects adds further navigational uncertainty. Hovering is appropriate while re-",
scheduled,claude,5,1,door_open,safe,scheduled,0,13.5,safe,0,"YOLO detections: window (conf=0.32, depth_m=4.0m [DA v2], src=YOLO-W, bbox=[0.7,0.1,319.5,239.5])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=121/255 (none)",disabled,disabled,0.0,caution,0,9596.1,0.007368,"Description: The image shows an indoor industrial or warehouse space with a glass/aluminum partition structure in the foreground, open ceiling with exposed conduits and lighting, and what appears to be a large open area beyond the partitions at approximately 1m flight altitude.
Sensor note: YOLO-World detected a window at 4.0m depth covering nearly the full frame — this is consistent with the glass partition structure visible in the image; the detection label ""window"" is reasonable for the glazed aluminum framing seen.
Proximity: The glass partition framework appears to be the closest obstacle, visually estimated at approximately 1–2m ahead; the depth reading of 4.0m likely refers to the space beyond the glass, not the frame itself — the metal frame edges could be closer (~1–1.5m).
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The aluminum/glass partition frames directly ahead pose a structural collision risk if the drone pitches forward without precise lateral alignment. The actual frame edges may be closer than the 4.0m depth estimate (which likely samples through the glass). The scene is adequately lit (brightness 121/255), so low-light is not the concern — rather, the narrow framing and structural obstacles at flight altitude warrant a cautious hover while re-evaluating the safest passage path (potentially YAW_LEFT or YAW",
scheduled,claude,5,6,person_near,hazard,scheduled,1,13.04,hazard,1,"YOLO detections: wall (conf=0.25, depth_m=0.6m [DA v2], src=YOLO-W, bbox=[0.5,0.4,319.6,232.9]); shelf (conf=0.17, depth_m=0.57m [DA v2], src=YOLO-W, bbox=[288.8,61.4,320.0,214.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.797, est_dist=0.2m); brightness=122/255 (none)",disabled,disabled,0.0,hazard,1,5893.6,0.005586,"Description: A person is standing very close to the camera/drone, leaning forward with their torso and body filling a large portion of the frame, indicating extremely close proximity — well under 1 metre. The indoor environment shows shelving and furniture in the background.

Sensor note: Consistent — local detector confirms person at est_dist=0.2m, which aligns with the visual evidence of the person dominating the frame at very close range. YOLO missed the person as a COCO class but MediaPipe caught it.

Proximity: Person visually estimated at approximately 0.2–0.4m — extremely close, occupying the majority of the frame and directly in the flight path.

Risk: hazard

Pilot suggested action: LAND",
scheduled,gpt4o,1,1,door_open,safe,scheduled,0,13.88,safe,0,"YOLO detections: window (conf=0.32, depth_m=4.0m [DA v2], src=YOLO-W, bbox=[0.7,0.1,319.5,239.5])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=121/255 (none)",disabled,disabled,0.0,safe,1,3745.5,0.00521,"Description: The image shows an indoor space with tables arranged in rows, and a partially open door leading into the room. The area appears clear with no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with YOLO detection of a window at 4.0m depth.
Proximity: Closest object is the door, approximately 2m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,1,6,person_near,hazard,scheduled,1,13.16,hazard,1,"YOLO detections: wall (conf=0.25, depth_m=0.6m [DA v2], src=YOLO-W, bbox=[0.5,0.4,319.6,232.9]); shelf (conf=0.17, depth_m=0.57m [DA v2], src=YOLO-W, bbox=[288.8,61.4,320.0,214.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.797, est_dist=0.2m); brightness=122/255 (none)",disabled,disabled,0.0,hazard,1,2503.5,0.005305,"Description: The image shows a person very close to the camera, bending forward, which indicates a potential obstruction to the drone's flight path.
Sensor note: Consistent with sensor data indicating a person detected at approximately 0.2m.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
scheduled,gpt4o,2,1,door_open,safe,scheduled,0,13.7,safe,0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=119/255 (none)",disabled,disabled,0.0,hazard,0,2550.8,0.005395,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear at ~1m altitude, with no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data; the detected window and train are not immediate hazards.
Proximity: Closest object is the door at approximately 3.2m, consistent with depth_m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,2,6,person_near,hazard,scheduled,1,14.04,hazard,1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,0.0,hazard,1,2620.3,0.005145,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being 0.24m away is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
scheduled,gpt4o,3,1,door_open,safe,scheduled,0,13.61,safe,0,"YOLO detections: window (conf=0.23, depth_m=3.48m [DA v2], src=YOLO-W, bbox=[0.3,0.1,319.4,239.9])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=120/255 (none)",disabled,disabled,0.0,safe,1,2586.9,0.005045,"Description: The image shows an indoor space with tables and chairs, and a partially open door. The area appears clear at ~1m altitude.
Sensor note: Consistent with sensor data indicating a window at 3.48m depth.
Proximity: Closest object is the door, visually estimated at over 3m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,3,6,person_near,hazard,scheduled,1,13.18,hazard,1,"YOLO detections: person (conf=0.36, depth_m=0.4m [DA v2], src=COCO, bbox=[133.2,6.2,244.7,238.2]); wall (conf=0.16, depth_m=0.4m [DA v2], src=YOLO-W, bbox=[0.2,0.2,319.2,232.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.625, est_dist=0.21m); brightness=130/255 (none)",disabled,disabled,0.0,hazard,1,3994.9,0.005405,"Description: The image shows a person standing close to the camera, with a chair and some furniture in the background. The person appears to be within 1 meter of the drone.
Sensor note: Consistent with sensor data indicating a person at approximately 0.4 meters.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
