history_mode,sequence,frame_num,scene_label,expected_risk,model,detected_risk,risk_correct,change_event,change_detected,input_tokens,output_tokens,latency_ms,cost_usd,reply_snippet,error
stateless,1,1,door_open,safe,claude,caution,0,0,-1,258,87,4575.0,0.002079,"Description: The drone appears to be inside an industrial or warehouse facility, showing a glass-partitioned office or e",
stateless,1,1,door_open,safe,gpt4o,hazard,0,0,-1,152,75,3971.3,0.001885,The image shows an indoor space with open doors leading to a room with tables or workstations. There are no people or ob,
stateless,1,1,door_open,safe,gpt4o_mini,safe,1,0,-1,2919,104,2939.8,0.0005,The image shows an indoor space that appears to be a room or corridor with several tables or workstations. The lighting ,
stateless,1,1,door_open,safe,gemini,caution,0,0,-1,336,200,6502.6,8.5e-05,"YOLO detections: none  The current frame shows an indoor scene, possibly a factory or a large workshop, viewed through a",
stateless,1,2,door_open,safe,claude,caution,0,0,-1,258,88,4859.3,0.002094,"Description: The drone appears to be inside an industrial or warehouse facility, showing a glass partition/door structur",
stateless,1,2,door_open,safe,gpt4o,hazard,0,0,-1,152,74,4561.6,0.00187,The image shows an indoor space with open doors leading to a room with tables or workstations. There are no people or ob,
stateless,1,2,door_open,safe,gpt4o_mini,safe,1,0,-1,2919,90,2598.2,0.000492,The image shows an indoor space that appears to be a room or corridor with several tables or workstations. The lighting ,
stateless,1,2,door_open,safe,gemini,caution,0,0,-1,336,200,2491.8,8.5e-05,"YOLO detections: none  The current frame shows an indoor scene, possibly a factory or a large workshop, viewed through a",
stateless,1,3,person_near,hazard,claude,caution,0,1,1,258,64,4081.3,0.001734,"Description: A person is visible in what appears to be an indoor environment (office or workspace), leaning forward in a",
stateless,1,3,person_near,hazard,gpt4o,caution,0,1,1,184,145,4504.0,0.003095,"Based on the YOLO metadata and the image, there is a person detected with a confidence of 0.5 at an estimated distance o",
stateless,1,3,person_near,hazard,gpt4o_mini,caution,0,1,1,2951,103,3585.6,0.000504,"Based on the YOLO detection, there is a person in the frame with a confidence level of 0.5, indicating a moderate certai",
stateless,1,3,person_near,hazard,gemini,hazard,1,1,1,377,200,5429.0,8.8e-05,"Here's an analysis of the current frame:  **Description:** The image shows a person in the foreground, appearing to be b",
stateless,1,4,person_near,hazard,claude,caution,0,0,-1,258,65,4312.8,0.001749,"Description: A person is visible in what appears to be an indoor environment, possibly a store or warehouse, bending for",
stateless,1,4,person_near,hazard,gpt4o,caution,0,0,-1,184,147,4304.7,0.003125,"Based on the YOLO metadata and the image, there is a person detected with a confidence of 0.5 at an estimated distance o",
stateless,1,4,person_near,hazard,gpt4o_mini,caution,0,0,-1,2951,137,2796.2,0.000525,"Based on the YOLO detection, there is a person detected in the frame with a confidence of 0.5. The estimated distance to",
stateless,1,4,person_near,hazard,gemini,hazard,1,0,-1,377,200,2735.1,8.8e-05,"Here's an analysis of the current frame:  **Description:** The image shows a person in the foreground, appearing to be b",
stateless,1,5,door_open,safe,claude,caution,0,1,0,258,91,5120.3,0.002139,"Description: The drone appears to be inside an industrial or warehouse building, showing a glass-partitioned interior sp",
stateless,1,5,door_open,safe,gpt4o,hazard,0,1,0,152,79,3163.9,0.001945,The image shows an indoor space with open doors leading to a room with tables or workstations. The lighting is artificia,
stateless,1,5,door_open,safe,gpt4o_mini,safe,1,1,1,2919,109,3280.4,0.000503,The image shows an indoor space that appears to be a room or corridor with several tables or workstations. The lighting ,
stateless,1,5,door_open,safe,gemini,safe,1,1,1,336,198,2863.4,8.5e-05,"YOLO detections: none  The current frame shows an indoor scene, possibly a factory or a large workshop, viewed through a",
stateless,2,1,door_open,safe,claude,caution,0,0,-1,258,81,4408.8,0.001989,"Description: The drone appears to be inside a large industrial or commercial building, showing glass partitions, metal f",
stateless,2,1,door_open,safe,gpt4o,safe,1,0,-1,152,62,4086.9,0.00169,"The image shows an indoor environment, possibly a hallway or corridor with glass doors and windows. There are no YOLO de",
stateless,2,1,door_open,safe,gpt4o_mini,hazard,0,0,-1,2919,78,2607.3,0.000485,"The image shows an indoor environment, likely a workspace or industrial area, with metal tables and a clean, organized l",
stateless,2,1,door_open,safe,gemini,safe,1,0,-1,336,139,2929.8,6.7e-05,"The current frame shows an indoor environment, possibly an office or industrial space, characterized by white walls, cei",
stateless,2,2,door_open,safe,claude,caution,0,0,-1,258,85,4499.0,0.002049,Description: The drone appears to be inside a large industrial or warehouse-like building with metal shelving/racking st,
stateless,2,2,door_open,safe,gpt4o,safe,1,0,-1,152,61,3180.5,0.001675,"The image shows an indoor environment, possibly a hallway or corridor with glass doors and windows. There are no YOLO de",
stateless,2,2,door_open,safe,gpt4o_mini,hazard,0,0,-1,2919,78,2557.2,0.000485,"The image shows an indoor environment, likely a workspace or industrial area, with metal tables and a clean, organized l",
stateless,2,2,door_open,safe,gemini,safe,1,0,-1,336,139,2456.8,6.7e-05,"The current frame shows an indoor environment, possibly an office or industrial space, characterized by white walls, cei",
stateless,2,3,person_near,hazard,claude,caution,0,1,1,258,69,4811.9,0.001809,"Description: A person is leaning forward in what appears to be an indoor workspace or warehouse environment, possibly in",
stateless,2,3,person_near,hazard,gpt4o,caution,0,1,1,218,184,4420.2,0.00385,Based on the YOLO detections and the image:  - **Objects Detected**:    - A chair with high confidence (0.86) at an esti,
stateless,2,3,person_near,hazard,gpt4o_mini,caution,0,1,1,2985,175,2999.3,0.000553,"In the current frame, there is a detected person and a chair. The person is positioned in the foreground, while the chai",
stateless,2,3,person_near,hazard,gemini,hazard,1,1,1,422,81,9450.1,5.6e-05,"The drone is currently facing a person who is very close, estimated at 0.31m away, and appears to be bending over or lea",
stateless,2,4,person_near,hazard,claude,caution,0,0,-1,258,75,3921.3,0.001899,"Description: A person is leaning forward in what appears to be an indoor workspace or workshop environment, with chairs ",
stateless,2,4,person_near,hazard,gpt4o,caution,0,0,-1,218,127,3924.3,0.002995,Based on the YOLO detections and the image:  - There is a chair detected with high confidence (0.86) at an estimated dis,
stateless,2,4,person_near,hazard,gpt4o_mini,caution,0,0,-1,2985,143,3864.1,0.000534,"In the current frame, there is a detected chair with a high confidence level (0.86) and a person with a moderate confide",
stateless,2,4,person_near,hazard,gemini,hazard,1,0,-1,422,200,4811.8,9.2e-05,"The drone is currently facing a person who is very close, estimated at 0.31m away, and appears to be bending over or lea",
stateless,2,5,door_open,safe,claude,caution,0,1,0,258,89,5292.0,0.002109,"Description: The drone appears to be navigating inside a large indoor facility, possibly a warehouse or industrial build",
stateless,2,5,door_open,safe,gpt4o,safe,1,1,1,152,60,3477.7,0.00166,"The image shows an indoor environment, possibly a hallway or corridor with glass doors and windows. There are no objects",
stateless,2,5,door_open,safe,gpt4o_mini,hazard,0,1,0,2919,78,2874.5,0.000485,"The image shows an indoor environment, likely a workspace or industrial area, with metal tables and a clean, organized l",
stateless,2,5,door_open,safe,gemini,safe,1,1,1,336,156,2247.9,7.2e-05,"The current frame shows an indoor environment, possibly an office or industrial space, characterized by white walls, cei",
stateless,3,1,door_open,safe,claude,caution,0,0,-1,258,77,4810.1,0.001929,"Description: The drone appears to be inside a large industrial or warehouse building, showing metal shelving/racking str",
stateless,3,1,door_open,safe,gpt4o,hazard,0,0,-1,152,79,3122.9,0.001945,The image shows an indoor space with glass partitions and what appears to be a row of desks or workstations. There are n,
stateless,3,1,door_open,safe,gpt4o_mini,hazard,0,0,-1,2919,96,2478.7,0.000495,"The image shows an indoor space that appears to be a workshop or industrial area, with several tables or workstations vi",
stateless,3,1,door_open,safe,gemini,safe,1,0,-1,336,136,3259.2,6.6e-05,"I see an indoor scene, likely an office or workshop, characterized by white walls and a ceiling with visible lighting fi",
stateless,3,2,door_open,safe,claude,caution,0,0,-1,258,73,5386.0,0.001869,"Description: The drone appears to be inside a large industrial or warehouse building, flying near the upper level with m",
stateless,3,2,door_open,safe,gpt4o,safe,1,0,-1,152,61,2762.8,0.001675,The image shows an indoor space with glass partitions and what appears to be a row of desks or workstations. There are n,
stateless,3,2,door_open,safe,gpt4o_mini,safe,1,0,-1,2919,83,2822.8,0.000488,The image shows an indoor space that appears to be a room or corridor with glass doors and some furniture or equipment i,
stateless,3,2,door_open,safe,gemini,safe,1,0,-1,336,136,2577.4,6.6e-05,"I see an indoor scene, likely an office or workshop, characterized by white walls and a ceiling with visible lighting fi",
stateless,3,3,person_near,hazard,claude,caution,0,1,1,258,68,3903.7,0.001794,"Description: A person is standing indoors in what appears to be a workshop or storage area, with their arms raised in a ",
stateless,3,3,person_near,hazard,gpt4o,hazard,1,1,1,184,79,3090.1,0.002105,"Based on the image and YOLO metadata, the scene shows an indoor environment with a person standing and a chair detected ",
stateless,3,3,person_near,hazard,gpt4o_mini,caution,0,1,1,2951,106,3153.8,0.000506,"In the current frame, there is a person standing in a room with a chair visible in the background. The confidence level ",
stateless,3,3,person_near,hazard,gemini,hazard,1,1,1,379,129,2972.9,6.7e-05,"The current frame shows a person standing in the center, facing the camera, with their arms raised. There is a chair vis",
stateless,3,4,person_near,hazard,claude,caution,0,0,-1,258,74,4642.3,0.001884,"Description: A person is standing in what appears to be an indoor workspace or storage area, with their arms raised, sur",
stateless,3,4,person_near,hazard,gpt4o,hazard,1,0,-1,184,76,3165.7,0.00206,"Based on the image and YOLO metadata, the scene shows an indoor environment with a person standing and a chair detected ",
stateless,3,4,person_near,hazard,gpt4o_mini,caution,0,0,-1,2951,101,2865.6,0.000503,"In the current frame, there is a person standing in a room with a chair visible in the background. The confidence level ",
stateless,3,4,person_near,hazard,gemini,hazard,1,0,-1,379,129,1852.1,6.7e-05,"The current frame shows a person standing in the center, facing the camera, with their arms raised. There is a chair vis",
stateless,3,5,door_open,safe,claude,caution,0,1,0,258,75,4712.9,0.001899,"Description: The drone appears to be navigating inside a large industrial or warehouse building, with metal shelving/rac",
stateless,3,5,door_open,safe,gpt4o,safe,1,1,1,152,80,3983.6,0.00196,The image shows an indoor space with what appears to be a row of workstations or desks. There are no people or objects d,
stateless,3,5,door_open,safe,gpt4o_mini,hazard,0,1,0,2919,99,2767.8,0.000497,"The image shows an indoor space that appears to be a workshop or industrial area, with several tables or workstations vi",
stateless,3,5,door_open,safe,gemini,safe,1,1,1,336,114,2465.2,5.9e-05,"I see an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with visible light",
stateless,4,1,door_open,safe,claude,caution,0,0,-1,258,82,6550.5,0.002004,"Description: The drone appears to be navigating through an industrial or warehouse interior, with metal shelving/racking",
stateless,4,1,door_open,safe,gpt4o,safe,1,0,-1,152,71,4094.1,0.001825,"Based on the image and the YOLO metadata indicating no detections, the scene appears to be an indoor environment, possib",
stateless,4,1,door_open,safe,gpt4o_mini,safe,1,0,-1,2919,111,3173.5,0.000504,"The image shows an indoor environment, likely a workshop or laboratory, with several tables and a large object (possibly",
stateless,4,1,door_open,safe,gemini,safe,1,0,-1,336,198,5841.5,8.5e-05,"YOLO detections: none  The scene appears to be an indoor environment, possibly an office or a workshop, characterized by",
stateless,4,2,door_open,safe,claude,hazard,0,0,-1,258,71,5365.6,0.001839,"Description: The drone appears to be inside a large industrial or warehouse-type building, flying near metal shelving un",
stateless,4,2,door_open,safe,gpt4o,safe,1,0,-1,152,50,2748.1,0.00151,"The image shows an indoor space with tables and chairs, possibly a classroom or lab. There are no people or objects dete",
stateless,4,2,door_open,safe,gpt4o_mini,hazard,0,0,-1,2919,73,2602.4,0.000482,"The image shows an indoor environment, likely a workshop or laboratory, with several tables and equipment visible. The a",
stateless,4,2,door_open,safe,gemini,safe,1,0,-1,336,198,2562.8,8.5e-05,"YOLO detections: none  The scene appears to be an indoor environment, possibly an office or a workshop, characterized by",
stateless,4,3,person_near,hazard,claude,caution,0,1,1,258,69,4952.9,0.001809,"Description: A person is standing in what appears to be an industrial or workshop environment, facing the camera in a lo",
stateless,4,3,person_near,hazard,gpt4o,hazard,1,1,1,184,73,2805.3,0.002015,"Based on the image and YOLO metadata, the scene shows an indoor environment with a person standing and a chair detected ",
stateless,4,3,person_near,hazard,gpt4o_mini,caution,0,1,1,2951,114,2631.2,0.000511,"In the current frame, there is a detected chair with a confidence of 0.29, estimated distance of approximately 0.81 mete",
stateless,4,3,person_near,hazard,gemini,caution,0,1,1,379,71,2171.9,5e-05,"I see a person standing in the center of the frame, facing forward. To the left, there is a white chair. The background ",
stateless,4,4,person_near,hazard,claude,caution,0,0,-1,258,67,4528.6,0.001779,"Description: A person is standing in what appears to be an industrial or workshop environment, facing the camera in the ",
stateless,4,4,person_near,hazard,gpt4o,hazard,1,0,-1,184,73,3282.7,0.002015,"Based on the image and YOLO metadata, the scene shows an indoor environment with a person standing and a chair detected ",
stateless,4,4,person_near,hazard,gpt4o_mini,caution,0,0,-1,2951,114,3160.3,0.000511,"In the current frame, there is a detected chair with a confidence of 0.29, estimated distance of approximately 0.81 mete",
