model,scene_label,truth,run,load_ms,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,person_near,hazard,1,0.11,202.03,4960.2,5162.3,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,936,148,0.005028,"Description: A person is leaning/crouching forward in what appears to be a cluttered indoor workspace, occupying a large portion of the frame and visually very close to the camera/drone. The YOLO distance estimate of ~0.31m aligns with the visual evidence — the person appears large and fills much of the frame, confirming they are very close and directly in the flight path.

Proximity: The person appears to be within ~0.5–1m of the drone based on their large apparent size filling the frame — consistent with YOLO's ~0.31m advisory estimate.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,person_near,hazard,1,0.11,202.03,3387.2,3589.3,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,802,66,0.005,"Description: The image shows a cluttered room with a person bending forward in the foreground and a chair in the background. The room appears to have various objects and furniture.
Proximity: The person is very close to the drone, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,person_near,hazard,1,0.11,202.03,3369.9,3572.0,2,yolo-world,cluttered room obstacles,caution,0.2057,caution,0,4,3569,118,0.000606,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of 0.41m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment, while the chair is also not blocking the flight path at 1m altitude.

Risk: caution

Pilot suggested action: HOVER",
gemini,person_near,hazard,1,0.11,202.03,19051.1,19253.2,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_near,hazard,2,0.6,149.6,5378.6,5528.8,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,936,165,0.005283,"Description: A person is crouching/leaning forward in what appears to be a cluttered indoor workspace or workshop, positioned centrally in the frame and taking up a large portion of the image. The YOLO estimate of ~0.31m is plausible given the person fills most of the frame and appears very close to the drone; a chair is visible to the left at floor level.

Proximity: The person visually appears to be within ~0.5–1m of the drone, occupying the majority of the frame — confirming the YOLO detection of a close person is credible (unlike distant-person false positives). This places them directly in the flight path.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,person_near,hazard,2,0.6,149.6,2659.8,2810.0,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,person_near,hazard,2,0.6,149.6,3174.0,3324.2,2,yolo-world,cluttered room obstacles,caution,0.2057,caution,0,4,3569,104,0.000598,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person suggests they are closer than they appear, as they seem to be more than 3m away visually. The scene is dimly lit, contributing to a cluttered environment.  
Proximity: The person appears to be more than 3m away, while the chair is also not in the direct flight path.  
Risk: caution  
Pilot suggested action: HOVER",
gemini,person_near,hazard,2,0.6,149.6,2257.4,2407.6,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_near,hazard,3,0.48,147.62,5174.9,5323.0,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,936,154,0.005118,"Description: A person is leaning/crouching forward in the center of the frame, filling a large portion of the image, with a cluttered indoor room behind them including a white chair to the left. The YOLO est_dist of ~0.31m for the person appears consistent with visual evidence — the person looks very close and large in frame, directly in the drone's flight path at ~1m altitude.

Proximity: The person visually appears to be approximately 0.3–0.7m from the drone, very close and centrally positioned in the flight corridor — consistent with YOLO's estimate in this case.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,person_near,hazard,3,0.48,147.62,2455.3,2603.4,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,person_near,hazard,3,0.48,147.62,3699.8,3847.9,2,yolo-world,cluttered room obstacles,caution,0.2057,caution,0,4,3569,102,0.000597,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of 0.41m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: caution

Pilot suggested action: HOVER",
gemini,person_near,hazard,3,0.48,147.62,2423.6,2571.7,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,person_near,hazard,4,0.52,142.64,5104.9,5248.1,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,936,143,0.004953,"Description: A person is leaning/crouching forward in what appears to be a cluttered indoor workspace, positioned centrally in the frame and occupying a large portion of the image, indicating they are very close to the drone. The YOLO estimate of ~0.31m aligns with the visual evidence — the person appears large and close, filling much of the frame.

Proximity: The person visually appears to be within ~0.5–1m of the drone, consistent with the YOLO detection. They are directly in the flight path at drone altitude (~1m).

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,person_near,hazard,4,0.52,142.64,2455.3,2598.5,2,yolo-world,cluttered room obstacles,caution,0.2057,hazard,1,5,802,56,0.00485,"Description: The image shows a cluttered room with a person bending forward and a chair nearby. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
gpt4o_mini,person_near,hazard,4,0.52,142.64,3586.5,3729.7,2,yolo-world,cluttered room obstacles,caution,0.2057,caution,0,4,3569,106,0.000599,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of <1m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment, despite YOLO's estimate.

Risk: caution

Pilot suggested action: HOVER",
