run,model,scene_label,truth,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
1,claude,person_near,hazard,8160.3,915,249,0.00648,"Description: A person is standing approximately 2–3 metres away in what appears to be an indoor workshop or storage space, with arms raised and facing the camera; shelving, chairs, and cluttered floor items are visible in the background.
Sensor note: YOLO detected only a ""wall"" at 0.45m — critically missed the prominent person standing in the centre frame; this is a significant under-detection requiring visual override.
Proximity: Person is the closest significant object, visually estimated at ~2–2.5m; the 0.45m wall reading likely corresponds to a surface partially visible at frame edge, not the dominant hazard.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold visually, but is close enough (~2m) and centrally positioned to warrant a stop-and-hold. The cluttered environment with chairs and shelving adds navigational complexity. YOLO's failure to detect the person reinforces reliance on direct visual analysis. Hovering is the appropriate action until the person moves clear or the operator takes manual control.",
1,claude,wall_close,hazard,5839.2,915,175,0.00537,"Description: The image shows a nearly featureless, light-coloured wall or surface filling most of the frame, with no persons, furniture, or dynamic obstacles visible. The scene is uniformly pale and slightly blurry, consistent with a blank interior wall at moderate distance.

Sensor note: Consistent — YOLO-World detected a wall at ~2.09 m depth, which aligns with the visual impression of a large flat surface occupying the full frame at a few metres' distance.

Proximity: Closest object is the wall, visually estimated at approximately 2 m, consistent with the DepthAnything v2 reading of 2.09 m. No closer obstacles detected visually or by sensors.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
1,claude,object_table,caution,8285.9,915,245,0.00642,"Description: The image shows an indoor environment with a laptop on a desk displaying code/development software, with shelving units visible in the background; the scene is dim and somewhat cluttered with limited visibility.
Sensor note: YOLO-World detected a shelf at ~2.53m with low confidence (0.19); the laptop on the desk is not detected but is clearly visible and represents a nearby obstacle at table level. The background shelving is consistent with the sensor report.
Proximity: The laptop/desk surface appears to be the closest obstacle, estimated at approximately 1–1.5m from the camera; the shelving in the background aligns with the ~2.53m depth reading.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The scene is dim with moderate clutter (desk, laptop, shelving). While no person is immediately visible, the low-light conditions reduce perception reliability, the desk/laptop occupies the near field at roughly 1m, and the flight corridor is not clearly open. Hovering is the safest action while the environment is assessed more thoroughly before any forward movement.",
1,claude,dim_light,caution,8530.0,915,281,0.00696,"Description: The image shows a dimly lit indoor room with heavy noise/grain, revealing what appears to be a sofa or couch on the left, a cushion/pillow on the right foreground, and some furniture or shelving in the background; visibility is significantly degraded by low light and sensor noise.
Sensor note: YOLO detected a wall at 0.42m depth covering nearly the full frame — this is plausible given the cushion/furniture appearing very close on the right side, consistent with a near obstacle at roughly that distance.
Proximity: Closest object appears to be the cushion/furniture on the right at approximately 0.4–0.6m, consistent with the 0.42m depth reading from DepthAnything v2; this is within hazard range.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** The 0.42m depth reading combined with visually confirmed close-proximity furniture/cushion on the right side places an obstacle well within the 2m hazard threshold and directly encroaching on the ~1m flight corridor. Additionally, the severely degraded image quality (noise, low light) means further reliable navigation is unsafe. Immediate hover to stabilize and reassess before any directional movement.",
1,claude,cluttered,caution,6226.9,915,199,0.00573,"Description: The image shows an indoor industrial or warehouse environment at low altitude, with large white panels/walls nearby, some boxes or equipment visible at mid-range, and overhead ceiling structure with lighting. The flight path appears partially obstructed by close white surfaces on the right side.

Sensor note: YOLO detects a wall at 4.03m depth, but visually the large white surface on the right appears significantly closer than 4m — likely within 1-2m. The sensor may be averaging depth across the scene rather than the nearest surface.

Proximity: Closest object appears to be the white panel/wall to the right, visually estimated at approximately 1–1.5m. This is notably closer than the 4.03m reported by DepthAnything v2, suggesting depth estimation error on a large flat reflective surface.

Risk: caution

Pilot suggested action: HOVER",
1,claude,door_open,safe,9512.4,961,300,0.007383,"Description: The image shows a large indoor industrial or warehouse-style space with glass-panel partitions/dividers in the foreground, metal shelving units to the right, and an open area extending further back with overhead lighting; no persons are visible in the immediate flight path at ~1m altitude.
Sensor note: YOLO detects a ""train"" at 3.6m (likely a misclassification of shelving/industrial equipment given the COCO class mismatch in this context, conf=0.22 is low) and a ""window"" at 3.2m consistent with the visible glass partition frames; both detections appear plausible as structural elements rather than dynamic hazards.
Proximity: The closest obstacle is the glass partition framework visible at approximately 1.5–2.5m forward, consistent with the sensor depth readings of 3.2–3.6m (slight overestimate likely due to glass transparency affecting depth estimation); no objects appear within the critical <2m direct flight path at 1m altitude.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The glass partitions pose a significant navigation risk — DepthAnything v2 may underperform on transparent surfaces, making the true clearance uncertain. The space appears navigable but warrants a careful hover-and-assess before proceeding. No immediate hazard",
1,claude,person_far,caution,6231.5,869,179,0.005292,"Description: An indoor industrial/workshop space with a person standing near the center-background (~4-6m away), flanked by large machinery, shelving units, and equipment; the scene is dimly lit with overhead fluorescent lighting, and there is significant clutter including a white plastic chair in the foreground-left and various equipment along the walls.

Sensor note: YOLO detected no objects, but the image clearly shows a person, a chair, machinery, and structural elements — significant under-detection. Visual analysis overrides sensor data.

Proximity: The white plastic chair in the foreground-left appears to be the closest object, estimated ~1.5-2m from the drone. The person appears to be approximately 4-6m away near the center.

Risk: caution

Pilot suggested action: HOVER",
1,claude,blocked_lens,hazard,7166.0,869,220,0.005907,"Description: The image shows severe visual noise/static — the camera feed appears to be completely corrupted, displaying random green, blue, and red pixel noise with no discernible scene content or identifiable objects.
Sensor note: YOLO detections report none, which is consistent with a corrupted feed, but the core issue is that the camera itself is producing unusable data — the lens may be covered, the sensor is malfunctioning, or the feed has been lost entirely.
Proximity: Cannot be determined — visual feed is entirely corrupted; no depth information available; closest obstacle distance is unknown and potentially zero.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted camera feed is functionally equivalent to a covered lens — the drone has lost its primary sensing modality for cognitive reasoning. With no usable visual data and no YOLO detections to compensate, continued flight is unsafe. Immediate controlled landing is the only responsible action to prevent an uncontrolled collision.",
1,gpt4o,person_near,hazard,2860.5,741,85,0.00498,"Description: The image shows a person standing indoors, appearing to be within close proximity to the camera, possibly less than 1 meter away.
Sensor note: The sensor detected a wall at 0.45m, but the person is not detected; discrepancy noted.
Proximity: The person is visually estimated to be very close, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
1,gpt4o,wall_close,hazard,2124.1,741,68,0.004725,"Description: The image shows a plain wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
1,gpt4o,object_table,caution,2273.4,741,75,0.00483,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The scene appears well-lit and organized.
Sensor note: Consistent with sensor data; the shelf detection aligns with the image.
Proximity: The closest object is the laptop, approximately 1 meter away.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,dim_light,caution,2700.2,741,83,0.00495,"Description: The image is dim and grainy, making it difficult to clearly identify objects. There appears to be clutter at floor level, but no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data indicating a wall at 0.42m depth.
Proximity: Closest object visually estimated at approximately 0.4m.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,cluttered,caution,2636.3,741,80,0.004905,"Description: The image shows a cluttered indoor environment with various objects on a table or shelf. There is no clear path visible for flight at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at approximately 4.03m.
Proximity: Closest object appears to be within 1-2 meters.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,door_open,safe,2644.9,784,69,0.004955,"Description: The image shows an indoor space with tables and a partially open door, providing a clear path for navigation.
Sensor note: Consistent with sensor data; detected objects match the visual scene.
Proximity: Closest object is the door at approximately 3.2 meters away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
1,gpt4o,person_far,caution,2442.4,699,64,0.004455,"Description: The image shows an indoor room with furniture and a person standing in the center. The scene is moderately cluttered, but there appears to be a clear path for navigation.
Sensor note: Consistent
Proximity: Person approximately 2 meters away
Risk: Caution
Pilot suggested action: HOVER",
