strategy,model,seq,frame_num,scene_label,expected_risk,call_source,in_hazard,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,latency_ms,cost_usd,reply,error
scheduled,claude,1,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,caution,0,7612.2,0.004926,"Description: The image shows an indoor industrial or warehouse space with glass partitions/windows and metal framing forming a corridor or enclosure, with open space visible beyond. The YOLO detection reports a window at ~0.3m, but visually the glass partition appears several meters away; the CLIP ""wall blocking path"" label is misleading — the glass structure has navigable openings and open space is clearly visible beyond.

Proximity: The glass partitions and framing appear to be approximately 3–5m away based on perspective and scene scale; YOLO's 0.3m estimate is unreliable here.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,1,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,5612.5,0.004914,"Description: A person is standing/bending directly in the center of the frame at close range, filling a large portion of the image and clearly within the drone's flight path at ~1m altitude; a chair is visible to the left in the background but is not the primary concern.

Proximity: The person appears to be approximately 1–1.5m from the drone based on their large size in the frame — the YOLO chair estimate of 0.75m seems plausible for background context, but the person (not detected by YOLO) is the dominant and immediate obstacle visually very close.

Risk: hazard

Pilot suggested action: PITCH_BACK",
scheduled,claude,2,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.34, est_dist~2.46m [advisory], bbox=[0.0,120.2,16.8,149.5])",open room safe path,safe,0.2052,caution,0,8165.5,0.004731,"Description: The image shows a large open indoor space (appears to be an office or warehouse) with glass partitions/windows and metal framing in the foreground, with visible open space and ceiling lights beyond. The YOLO-detected window at ~2.46m is a glass partition frame at the left edge with navigable space visible through and beyond it.

Proximity: The glass partition frames are immediately nearby (1-2m), but the space beyond appears open and extends well beyond 3m. No solid obstacles are blocking the ~1m altitude flight corridor ahead.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,2,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,10001.4,0.005118,"Description: A person is crouching/leaning forward in what appears to be a cluttered indoor workspace, occupying a large portion of the frame and clearly filling the central flight corridor at drone altitude (~1m). A white plastic chair is visible to the left side. The YOLO est_dist of ~0.31m for the person aligns with the visual evidence — they appear very close and large in frame, directly ahead.

Proximity: The person appears to be approximately 0.5–1m away based on their large apparent size filling most of the frame; they are clearly within the immediate flight path and dangerously close.

Risk: hazard

Pilot suggested action: PITCH_BACK",
scheduled,claude,3,1,door_open,safe,scheduled,0,YOLO detections: none,open room safe path,safe,0.2056,caution,0,6528.4,0.004533,"Description: The image shows a large industrial or warehouse-like interior with metal framing, glass partitions, and shelving units visible. The scene appears to be viewed from a low angle through what looks like a framed glass enclosure, with an open corridor visible beyond — no obstacles detected at ~1m flight altitude in the immediate path.

Proximity: The nearest structural elements (metal frames/glass partitions) appear to be approximately 1–2m ahead, but the corridor beyond appears open and navigable. No people or dynamic obstacles visible.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,3,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,hazard,1,6452.5,0.005184,"Description: A person is standing in the center of a cluttered indoor workspace/workshop, with shelving units, a plastic chair to the left, and various equipment in the background. The person appears to be at medium distance (~3-4m away visually), making the YOLO chair distance estimate of 0.74m suspect — the chair looks further than that.

Proximity: The person appears visually to be approximately 3-4m away, well beyond the <1m hazard threshold. The chair is likely 1.5-2.5m away despite the YOLO heuristic suggesting 0.74m. The person is directly in the forward flight path at ~1m altitude.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,4,1,door_open,safe,scheduled,0,YOLO detections: none,uncertain (open room safe path),unknown,0.2037,caution,0,6796.3,0.004947,"Description: The image shows an industrial or warehouse-style interior with metal shelving/rack structures on both sides and a glass partition or door frame directly ahead; the space appears open beyond the glass with overhead lighting visible, suggesting a navigable corridor or room ahead. No people or immediate obstacles are detected by YOLO, and the scene is moderately lit though somewhat dim.

Proximity: The glass partition/door frame ahead appears to be approximately 1.5–2.5m away, with open space visible beyond it. The shelving units on the sides are at or beyond the edges of the flight corridor and do not appear to block the ~1m altitude path directly ahead.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,4,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.47, est_dist~0.72m [advisory], bbox=[55.3,139.8,113.9,239.8])",cluttered room obstacles,caution,0.2062,hazard,1,6224.7,0.005334,"Description: A person is standing in the center of a cluttered indoor workspace/workshop, with a white plastic chair to the left and various equipment/shelving in the background; the scene is somewhat dim and grainy. The chair YOLO distance estimate of ~0.72m appears roughly plausible given its size in frame, but the person is the primary concern — they appear to be approximately 2-3m away and are standing directly in the drone's forward flight path at ~1m altitude.

Proximity: The person appears visually to be roughly 2-3m ahead, centrally positioned in the flight corridor at drone altitude — close enough to be a concern but not immediately <1m. The chair is to the left and partially in the path.

Risk: hazard

Pilot suggested action: HOVER",
scheduled,claude,5,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,caution,0,6522.7,0.005196,"Description: The image shows an industrial or warehouse interior with glass/aluminum partition walls and an open doorway or passageway visible ahead; the space beyond appears open with ceiling lights and structural elements. YOLO reports a window at ~0.3m which is contradicted by the image — the glass partition/doorway appears to be several meters away, and CLIP's ""wall blocking path"" label overstates the risk as the doorway appears navigable.

Proximity: The glass partition and structural frame appear visually at approximately 3-5m distance, not 0.3m as YOLO suggests — the bounding-box heuristic is clearly unreliable here given the large field of view.

Risk: caution

Pilot suggested action: HOVER",
scheduled,claude,5,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,6009.8,0.005034,"Description: A person is standing directly in front of the drone, occupying the center of the frame at what appears to be very close range (~1-2m), with their body filling a large portion of the image; a chair is visible to the left in the background. The YOLO chair distance estimate of 0.75m appears roughly plausible but the person (not detected by YOLO) is the dominant and immediate concern.

Proximity: The person appears to be approximately 1-1.5m directly ahead based on their large apparent size and central position in the frame — they are clearly within the flight corridor at ~1m altitude.

Risk: hazard

Pilot suggested action: PITCH_BACK",
