run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,0.996,2.004,1.008,2.0,set_altitude_target,0,1,10,25866
1,2,climb to 2m,paraphrase,2.004,1.998,-0.006,2.0,text_inference,0,1,1,2379
1,3,go higher,relative_no_num,1.998,2.103,0.105,2.1,set_altitude_target,0,1,5,13555
1,4,go up a bit,vague_relative,2.103,2.206,0.103,2.2,set_altitude_target,0,1,3,8163
1,5,ascend slowly to a safe height,abstract,2.206,2.403,0.197,2.4,set_altitude_target,0,1,5,13644
1,6,I want it higher,indirect,2.403,2.402,-0.001,2.4,text_inference,0,0,1,2549
2,1,go to 2 metres,explicit,0.994,2.001,1.007,2.0,set_altitude_target,0,1,10,26043
2,2,climb to 2m,paraphrase,2.001,2.001,0.0,2.0,text_inference,0,1,2,4875
2,3,go higher,relative_no_num,2.001,2.102,0.101,2.1,set_altitude_target,0,1,4,9998
2,4,go up a bit,vague_relative,2.102,2.202,0.1,2.2,set_altitude_target,0,1,4,10123
2,5,ascend slowly to a safe height,abstract,2.202,2.401,0.199,2.4,set_altitude_target,0,1,5,13573
2,6,I want it higher,indirect,2.401,2.403,0.002,2.4,text_inference,0,0,1,2494
3,1,go to 2 metres,explicit,1.001,1.496,0.495,1.5,set_altitude_target,0,0,10,26236
3,2,climb to 2m,paraphrase,1.496,2.001,0.505,2.0,set_altitude_target,0,1,3,7616
3,3,go higher,relative_no_num,2.001,2.101,0.1,2.1,set_altitude_target,0,1,4,10472
3,4,go up a bit,vague_relative,2.101,2.095,-0.006,2.2,text_inference,0,0,1,2445
3,5,ascend slowly to a safe height,abstract,2.095,2.397,0.302,2.4,set_altitude_target,0,0,5,13982
3,6,I want it higher,indirect,2.397,2.4,0.003,2.4,text_inference,0,0,1,2528
4,1,go to 2 metres,explicit,1.002,1.998,0.996,2.0,set_altitude_target,0,1,10,26032
4,2,climb to 2m,paraphrase,1.998,2.001,0.003,2.0,text_inference,0,1,1,2377
4,3,go higher,relative_no_num,2.001,2.102,0.101,2.101,set_altitude_target,0,1,5,13237
4,4,go up a bit,vague_relative,2.102,2.103,0.001,2.2,text_inference,0,0,1,2447
4,5,ascend slowly to a safe height,abstract,2.103,2.405,0.302,2.4,set_altitude_target,0,0,4,10453
4,6,I want it higher,indirect,2.405,2.402,-0.003,2.4,text_inference,0,0,1,2539
5,1,go to 2 metres,explicit,0.993,2.005,1.012,2.0,set_altitude_target,0,1,10,25953
5,2,climb to 2m,paraphrase,2.005,2.0,-0.005,2.0,text_inference,0,1,1,2392
5,3,go higher,relative_no_num,2.0,2.102,0.102,2.1,set_altitude_target,0,1,5,13141
5,4,go up a bit,vague_relative,2.102,2.203,0.101,2.2,set_altitude_target,0,1,3,7861
5,5,ascend slowly to a safe height,abstract,2.203,2.399,0.196,2.4,set_altitude_target,0,1,5,13639
5,6,I want it higher,indirect,2.399,2.401,0.002,2.4,text_inference,0,0,1,2533
