scene_label,truth,known_failure,model,run,detected_risk,correct,quality_score,s1_scene,s2_proximity,s3_risk,word_count,yolo_meta,full_reply,latency_ms,input_tokens,output_tokens,cost_usd,error
wall_close,hazard,all models say safe — blank wall misread as empty room,claude,1,caution,0,4,1,1,0,105,YOLO detections: none,"Description: The image shows a plain, nearly featureless light gray/white surface, likely a wall or ceiling close to the drone, with no discernible objects or people detected.
Proximity: The surface appears to be very close to the camera, possibly within 0.5–1 meter, suggesting the drone may be in a confined space or near a wall.
Risk: caution

Pilot suggested action: **SLOW_DOWN**

**Reasoning:** Although no objects are detected by YOLO, the near-featureless frame and apparent proximity to a flat surface (wall/ceiling) suggest the drone is in a tight or enclosed space. Slowing down and reassessing position is advisable to avoid a collision with the nearby surface.",5691.8,297,163,0.003336,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o,1,safe,0,4,1,1,0,35,YOLO detections: none,"Description: The image shows a plain, featureless surface, likely a wall or ceiling, with no objects or people detected.
Proximity: No objects or people are present to estimate proximity.
Risk: Safe
Pilot suggested action: PROCEED",3500.0,226,50,0.00188,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o_mini,1,safe,0,4,1,1,0,43,YOLO detections: none,"Description: The image appears to be a blank or empty space with no visible objects or people detected. The surface is smooth and uniformly lit.  
Proximity: No objects or people are present, so proximity cannot be estimated.  
Risk: safe  
Pilot suggested action: PROCEED",2345.6,2993,58,0.000484,
wall_close,hazard,all models say safe — blank wall misread as empty room,gemini,1,safe,0,4,1,1,0,41,YOLO detections: none,"Description: The image shows a plain, light gray surface, possibly a wall or ceiling, with no discernible objects or features. There are no YOLO detections.
Proximity: No objects are visible, so proximity cannot be estimated.
Risk: Safe
Pilot suggested action: PROCEED",3009.9,415,57,4.8e-05,
wall_close,hazard,all models say safe — blank wall misread as empty room,claude,2,caution,0,4,1,1,0,111,YOLO detections: none,"Description: The image shows a plain, light-colored wall or surface with no discernible objects, people, or obstacles detected. The frame is largely featureless and slightly blurry, suggesting proximity to a flat surface.

Proximity: The wall or surface appears to be relatively close to the camera, estimated at approximately 1–3 meters based on how it fills the frame.

Risk: caution

Pilot suggested action: **SLOW_DOWN**

> ⚠️ Rationale: Although no objects are detected by YOLO, the drone appears to be in close proximity to a wall or flat surface. Slowing down is advised to avoid collision while the environment is assessed more carefully. Recommend adjusting heading or altitude to gain more navigational clearance.",6209.7,297,170,0.003441,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o,2,safe,0,4,1,1,0,35,YOLO detections: none,"Description: The image shows a plain, featureless surface, likely a wall or ceiling, with no objects or people detected.
Proximity: No objects or people are present to estimate proximity.
Risk: Safe
Pilot suggested action: PROCEED",3374.6,226,50,0.00188,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o_mini,2,safe,0,4,1,1,0,46,YOLO detections: none,"Description: The image appears to be a blank or empty space with no visible objects or people detected. The surface is uniformly lit and lacks any identifiable features.  
Proximity: No objects or persons are present, so proximity cannot be estimated.  
Risk: safe  
Pilot suggested action: PROCEED",2186.2,2993,61,0.000486,
wall_close,hazard,all models say safe — blank wall misread as empty room,gemini,2,safe,0,4,1,1,0,36,YOLO detections: none,"Description: The image shows a plain, light gray surface, possibly a wall or ceiling, with no discernible objects or features. There are no YOLO detections.
Proximity: N/A (no objects detected)
Risk: safe
Pilot suggested action: PROCEED",1503.6,415,54,4.7e-05,
wall_close,hazard,all models say safe — blank wall misread as empty room,claude,3,hazard,1,5,1,1,1,127,YOLO detections: none,"Description: The image shows a nearly featureless, light-colored wall or surface with no discernible objects, people, or obstacles detected. The frame is very blurry and low contrast, suggesting the drone may be very close to a flat surface or the camera is out of focus.

Proximity: The flat surface (likely a wall or ceiling) appears to be very close to the camera, potentially within 0.5–1 meter, given how the image fills the entire frame with no depth perspective.

Risk: caution

Pilot suggested action: **SLOW_DOWN** — The drone appears to be in close proximity to a wall or surface. While no specific hazards are detected, the lack of visual depth information and the proximity to a flat surface warrants slowing down and reassessing positioning to avoid a collision.",6073.5,297,177,0.003546,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o,3,safe,0,4,1,1,0,35,YOLO detections: none,"Description: The image shows a plain, featureless surface, likely a wall or ceiling, with no objects or people detected.
Proximity: No objects or people are present to estimate proximity.
Risk: Safe
Pilot suggested action: PROCEED",2389.1,226,50,0.00188,
wall_close,hazard,all models say safe — blank wall misread as empty room,gpt4o_mini,3,safe,0,4,1,1,0,35,YOLO detections: none,"Description: The image appears to be a blank or empty space with no identifiable objects or features present.  
Proximity: No objects or persons detected, so proximity cannot be estimated.  
Risk: safe  
Pilot suggested action: PROCEED",2587.8,2993,49,0.000478,
wall_close,hazard,all models say safe — blank wall misread as empty room,gemini,3,safe,0,4,1,1,0,41,YOLO detections: none,"Description: The image shows a plain, light gray surface, possibly a wall or ceiling, with no discernible objects or features. There are no YOLO detections.
Proximity: No objects are visible, so proximity cannot be estimated.
Risk: Safe
Pilot suggested action: PROCEED",1545.2,415,57,4.8e-05,
door_open,safe,all models say hazard/caution — open doorway misread as obstacle,claude,1,hazard,0,4,1,1,0,130,YOLO detections: none,"Description: The drone appears to be flying inside a large industrial or commercial building, with metal shelving/racking structures, glass partitions, and overhead lighting visible. The interior space shows multiple structural elements including beams and shelving units.

Proximity: No persons detected by YOLO; however, structural elements such as shelving frames and glass partitions appear to be in close proximity — estimated within 1–3 meters on multiple sides.

Risk: caution

Pilot suggested action: **SLOW_DOWN**

**Reasoning:** While no human or object threats were detected by YOLO, the drone is operating in a confined indoor environment with numerous structural obstacles (metal frames, glass partitions, shelving). The close proximity of these structures on multiple sides creates a moderate collision risk. Slowing down allows for better navigation control and sensor response time to avoid structural hazards.",6579.0,297,189,0.003726,
door_open,safe,all models say hazard/caution — open doorway misread as obstacle,gpt4o,1,safe,1,5,1,1,1,48,YOLO detections: none,"Description: The image shows an indoor space with a row of tables or workstations and a glass door in the foreground. The area appears to be empty.
Proximity: The glass door is very close to the camera, likely within a few feet.
Risk: Safe
Pilot suggested action: PROCEED",3478.7,226,62,0.00206,
door_open,safe,all models say hazard/caution — open doorway misread as obstacle,gpt4o_mini,1,safe,1,5,1,1,1,52,YOLO detections: none,"Description: The image shows an indoor space with a series of tables or workstations, and glass doors leading to another area. The lighting is bright, and the environment appears organized and clean. 

Proximity: The nearest objects, likely the tables, are approximately 2-3 meters from the camera.

Risk: safe

Pilot suggested action: PROCEED",2575.6,2993,73,0.000493,
door_open,safe,all models say hazard/caution — open doorway misread as obstacle,gemini,1,caution,0,4,1,1,0,60,YOLO detections: none,"Description: The image shows an indoor environment, possibly an office or industrial space, with white walls and ceiling. There are multiple glass partitions and doors with white frames, suggesting a structured interior.
Proximity: The closest object is a white-framed glass door on the right, appearing to be within a few feet of the camera.
Risk: Caution
Pilot suggested action: SLOW_DOWN",1779.4,415,80,5.5e-05,
