history_mode,sequence,frame_num,scene_label,expected_risk,model,local_ms,local_risk,detected_risk,risk_correct,change_event,change_detected,input_tokens,output_tokens,latency_ms,cost_usd,reply_snippet,error
stateless,1,1,door_open,safe,claude,15.31,safe,caution,0,0,-1,401,283,9234.3,0.005448,## Visual Analysis  **What I see:** The image shows an **indoor industrial or warehouse space** viewed through what appe,
stateless,1,1,door_open,safe,gpt4o,15.31,safe,safe,1,0,-1,316,93,3387.0,0.002975,The image shows an indoor environment with a series of tables or desks arranged in rows. There is a glass door that appe,
stateless,1,1,door_open,safe,gpt4o_mini,15.31,safe,caution,0,0,-1,3083,101,5419.2,0.000523,"The image shows an indoor environment with a large open space, likely a room or hallway. There are several tables or wor",
stateless,1,1,door_open,safe,gemini,15.31,safe,hazard,0,0,-1,518,300,3688.6,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by a long room with a high ceiling. The",
stateless,1,2,door_open,safe,claude,43.53,safe,caution,0,0,-1,401,300,10134.1,0.005703,## Visual Analysis  **What I see:** The image shows an **indoor industrial or warehouse space** viewed through a glass/a,
stateless,1,2,door_open,safe,gpt4o,43.53,safe,safe,1,0,-1,316,100,2862.9,0.00308,The image shows an indoor environment with a series of tables or desks arranged in rows. There is a glass door or window,
stateless,1,2,door_open,safe,gpt4o_mini,43.53,safe,hazard,0,0,-1,3083,125,4505.6,0.000537,"The image shows an indoor environment with a large open space, likely a room or hallway. There are several tables or wor",
stateless,1,2,door_open,safe,gemini,43.53,safe,caution,0,0,-1,518,300,2889.1,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by white walls and ceilings, and what a",
stateless,1,3,person_near,hazard,claude,39.99,hazard,hazard,1,1,1,467,299,9711.9,0.005886,"## Image Analysis  **What I see:** A person is standing/leaning **very close to the camera** (drone), dominating the fra",
stateless,1,3,person_near,hazard,gpt4o,39.99,hazard,hazard,1,1,1,377,96,3276.5,0.003325,"The image shows a person standing indoors, leaning slightly forward. The environment includes furniture such as a chair ",
stateless,1,3,person_near,hazard,gpt4o_mini,39.99,hazard,caution,0,1,1,3144,150,5225.2,0.000562,"In the image, I see a person crouching down in a room. The environment appears to have a few objects, including a chair ",
stateless,1,3,person_near,hazard,gemini,39.99,hazard,hazard,1,1,1,593,163,4608.8,9.3e-05,"I see a person in the foreground, slightly bent over, occupying a large portion of the frame. Their face is not clearly ",
stateless,1,4,person_near,hazard,claude,31.19,hazard,hazard,1,0,-1,467,300,9347.8,0.005901,## Image Analysis  **What I see:** A person is **very close to the camera/drone** — they appear to be bending forward or,
