scene_id,scene_label,truth,model,temperature,run,local_ms,local_risk,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,reply,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,0.0,1,16.88,hazard,4,1,1,1,0,1,hazard,173,"Description: A person is standing approximately 2–3 metres away in what appears to be an indoor workshop or storage area, with both arms raised and hands visible; shelving, a chair, and various clutter are visible in the background.
Sensor note: The local detector estimates the person at 0.24m, which is inconsistent with the image — the person appears to be standing several metres away, not within arm's reach. The wall depth of 0.45m also seems underestimated given the visible room depth. CLIP scene label ""disabled"" with 0.0 confidence is unreliable and disregarded.
Proximity: Closest object is the person, visually estimated at ~2–3m; the 0.24m local detector estimate appears to be a false-positive distance error — image overrides this.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold based on visual analysis, but they are present in the flight space and their raised arms introduce uncertainty about intent and proximity. The cluttered environment with shelving and a chair also warrants reduced speed. Hovering allows reassessment before proceeding.",9422.0,1030,265,0.007065,
1,person_near,hazard,claude,0.2,1,16.88,hazard,4,1,1,1,0,1,hazard,193,"Description: A person is standing upright in what appears to be a workshop or storage room, facing the camera with both arms raised, at a moderate distance — visually estimated at roughly 2–3 metres away.
Sensor note: The local detector (Tier 1.5) reports est_dist=0.24m, which is clearly inconsistent with the image — the person appears several metres away, not 24 cm. This is a geometric fallback heuristic false reading and is overridden by visual analysis. CLIP label ""disabled"" is unreliable as expected for 320×240 frames.
Proximity: Closest object is the person, visually estimated ~2.5–3m. The wall detection at 0.45m (YOLO-W) may reflect lateral clutter or shelving to the sides rather than a direct forward obstacle — no immediate blocking structure is visible at ~1m flight height directly ahead.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold visually, but they are present in the flight space with arms raised (potentially indicating awareness of or interaction with the drone). The room contains shelving, clutter, and structural elements. Hovering is appropriate to maintain position, reassess, and avoid encroaching further until the person clears the path or intent is",9663.1,1030,300,0.00759,
1,person_near,hazard,claude,0.5,1,16.88,hazard,0,0,0,0,0,0,,0,,61433.1,0,0,0.0,The read operation timed out
1,person_near,hazard,claude,0.8,1,16.88,hazard,4,1,1,1,0,1,hazard,173,"Description: A person is standing in what appears to be a workshop or storage room, facing the camera with arms raised, at a moderate distance — visually estimated at approximately 2–3 meters away. The room has shelving, equipment, and clutter in the background.

Sensor note: The local detector (Tier 1.5) reports est_dist=0.24m for the person, which is a gross overestimate of proximity — the bounding-box heuristic is clearly wrong here; the person appears to be 2–3m away based on visual analysis. The CLIP label ""disabled"" is unreliable as expected on 320×240 frames. Wall depth at 0.45m may reflect near-field clutter rather than a solid wall directly ahead.

Proximity: Closest object is the person, visually estimated ~2–3m. Some background clutter and shelving exist but do not appear to block the ~1m flight corridor immediately.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold visually, but is close enough and in a cluttered indoor environment to warrant caution rather than free forward movement. Hovering allows reassessment before proceeding.",9362.8,1030,279,0.007275,
1,person_near,hazard,claude,1.0,1,16.88,hazard,4,1,1,1,0,1,hazard,176,"Description: A person is standing upright in what appears to be a workshop or storage room, facing the camera with both arms raised, at an estimated distance of roughly 2–3 metres from the drone.
Sensor note: The local detector estimates the person at 0.24m (geometric fallback heuristic), which contradicts the visual evidence — the person appears several metres away, not sub-metre. The wall depth of 0.45m from YOLO-World also seems underestimated given visible room depth. These sensor readings appear unreliable; visual analysis takes precedence.
Proximity: Closest object is the person, visually estimated at ~2–3m; sensor est_dist of 0.24m is inconsistent with image and likely a bounding-box heuristic error.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold based on visual analysis, but they are present in the flight path and the exact distance carries some uncertainty. The raised arms could indicate communication or an attempt to redirect the drone. Hovering is the appropriate conservative response — do not advance until the person clears the path or intent is confirmed.",8813.8,1030,267,0.007095,
1,person_near,hazard,gpt4o,0.0,1,16.88,hazard,5,1,1,1,1,1,hazard,46,"Description: The image shows a person standing indoors, appearing to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and estimated distance.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",3711.8,840,62,0.00513,
1,person_near,hazard,gpt4o,0.2,1,16.88,hazard,5,1,1,1,1,1,hazard,41,"Description: The image shows a person standing indoors, appearing to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and estimated distance.
Proximity: The person is approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3368.1,840,59,0.005085,
1,person_near,hazard,gpt4o,0.5,1,16.88,hazard,5,1,1,1,1,1,hazard,41,"Description: The image shows a person standing indoors, appearing close to the camera.
Sensor note: Consistent with local detector's person detection; YOLO's wall detection is less relevant.
Proximity: The person is approximately 0.3 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3512.8,840,62,0.00513,
1,person_near,hazard,gpt4o,0.8,1,16.88,hazard,5,1,1,1,1,1,hazard,58,"Description: The image shows a person standing indoors in what appears to be a workshop or storage area. The person is in close proximity to the camera.
Sensor note: Consistent with the local detector, the person is very close.
Proximity: The person is approximately 0.24 meters away, matching the local detector estimate.
Risk: Hazard
Pilot suggested action: HOVER",3842.0,840,77,0.005355,
1,person_near,hazard,gpt4o,1.0,1,16.88,hazard,5,1,1,1,1,1,hazard,49,"Description: The image shows a person standing indoors, close to the center. The environment appears to be cluttered, with various objects around.
Sensor note: Consistent with local detector; person detected. Depth indicated aligns with visual estimate.
Proximity: The person is roughly 0.5m away.
Risk: Hazard
Pilot suggested action: HOVER",3395.2,840,72,0.00528,
1,person_near,hazard,gpt4o_mini,0.0,1,16.88,hazard,5,1,1,1,1,1,hazard,95,"Description: The image shows a person standing in a room with various objects around, including a chair and what appears to be furniture in the background. The person is relatively close to the camera, estimated to be about 0.24m away based on sensor data. 

Sensor note: The local detector identified a person with a confidence of 0.455, which is consistent with my visual analysis. YOLO detected a wall at a distance of 0.45m, which aligns with the scene.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: LAND",5661.0,3607,131,0.00062,
1,person_near,hazard,gpt4o_mini,0.2,1,16.88,hazard,5,1,1,1,1,1,hazard,104,"Description: The image shows a person standing in a room with various objects around, including a chair and what appears to be a wall in the background. The person is relatively close to the camera, estimated to be within 1 meter. 

Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. YOLO detected a wall at a distance of 0.45m, which is consistent with the visual presence of the wall.

Proximity: The closest object is the person, estimated to be approximately 0.24m away based on the local detector's estimation.

Risk: hazard

Pilot suggested action: LAND",6838.6,3607,137,0.000623,
1,person_near,hazard,gpt4o_mini,0.5,1,16.88,hazard,5,1,1,1,1,1,hazard,67,"**Description:** The image shows a person standing in a room with various objects in the background. The person appears to be relatively close to the camera, likely within 1 meter. 

**Sensor note:** The local detector identified a person at 0.24m, consistent with my visual observation of the person being close.

**Proximity:** The closest object/person is the individual detected, approximately 0.24m away.

**Risk:** hazard

**Pilot suggested action:** LAND",10336.7,3607,98,0.0006,
1,person_near,hazard,gpt4o_mini,0.8,1,16.88,hazard,5,1,1,1,1,1,hazard,85,"Description: The image shows a person standing in an indoor space, with several objects in the background, including a chair and other structures. The person appears to be within close proximity to the drone's flight path. 

Sensor note: The local detector indicates a person at 0.24m, which aligns with my visual analysis. YOLO detected a wall but has a low confidence, indicating potential uncertainty in the environment.

Proximity: The closest object (the person) is detected at approximately 0.24m away.

Risk: hazard

Pilot suggested action: LAND",6669.5,3607,115,0.00061,
1,person_near,hazard,gpt4o_mini,1.0,1,16.88,hazard,5,1,1,1,1,1,hazard,62,"Description: The image shows a person standing in an indoor space with various objects around, including what appears to be furniture. The person is relatively close to the camera.  
Sensor note: Consistent with YOLO detection of a person detected; however, the confidence level indicates uncertainty.  
Proximity: The person is approximately 0.24m away based on estimated distance.  
Risk: hazard  
Pilot suggested action: LAND",4387.6,3607,86,0.000593,
1,person_near,hazard,gemini,0.0,1,16.88,hazard,5,1,1,1,1,1,hazard,97,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a 'wall' at 0.45m, which is likely the person or the background behind them, indicating a close object.
Proximity: The person is visually very close, estimated to be well within 1 meter. The local detector's 0.24m estimate seems plausible.
Risk: hazard
Pilot suggested action: HOVER",2815.9,1075,136,0.000121,
1,person_near,hazard,gemini,0.2,1,16.88,hazard,5,1,1,1,1,1,hazard,95,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, and its estimated distance is consistent with my visual assessment. YOLO-World detected a ""wall"" at 0.45m, which is likely the person or the background behind them, indicating a close object.
Proximity: Person is very close, visually estimated to be well within 1 meter. The local detector's 0.24m estimate seems plausible.
Risk: hazard
Pilot suggested action: HOVER",1972.2,1075,134,0.000121,
1,person_near,hazard,gemini,0.5,1,16.88,hazard,5,1,1,1,1,1,hazard,89,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",2117.9,1075,122,0.000117,
1,person_near,hazard,gemini,0.8,1,16.88,hazard,5,1,1,1,1,1,hazard,93,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture.
Sensor note: The local detector correctly identified a person, and its estimated distance of 0.24m is consistent with the visual proximity. YOLO did not detect the person, but did detect a 'wall' at 0.45m which is likely the person or a background object.
Proximity: The person is very close, visually estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: LAND",2240.6,1075,125,0.000118,
1,person_near,hazard,gemini,1.0,1,16.88,hazard,5,1,1,1,1,1,hazard,79,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with various objects.
Sensor note: The local detector correctly identified a person at an estimated distance of 0.24m. YOLO detected a wall, which is likely part of the background, but missed the prominent person.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",2018.2,1075,105,0.000112,
1,person_near,hazard,claude,0.0,2,16.88,hazard,4,1,1,1,0,1,hazard,180,"Description: A person is standing in what appears to be a workshop or storage room, facing the camera with arms raised, at an estimated moderate distance of approximately 2–4 meters from the drone.
Sensor note: The local detector estimates person at 0.24m which appears significantly too close based on visual analysis — the person occupies roughly 1/3 of frame height suggesting they are farther away, likely 3–5m; the wall detection at 0.45m is plausible for background clutter. CLIP ""disabled"" label is unreliable as noted.
Proximity: Person is visually estimated at ~3–4m, well beyond the <1m hazard threshold; background walls and shelving are present but not immediately blocking the ~1m flight corridor.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is present in the scene and their raised arms suggest they may be signaling awareness of the drone. While not within immediate hazard range visually, the cluttered environment, low image resolution/quality (brightness=123, slightly dim), and conflicting sensor data about person distance warrant a cautious HOVER rather than forward movement — until the person's intent and exact position are better confirmed.",8228.0,1030,271,0.007155,
1,person_near,hazard,claude,0.2,2,16.88,hazard,3,1,1,0,0,1,caution,194,"Description: A person is standing approximately 2–4 metres away in what appears to be an indoor workshop or storage room, with their arms raised, facing the camera directly. The background contains shelving, equipment, and a door, with moderate ambient lighting.

Sensor note: The local detector estimates the person at 0.24m, which is clearly inconsistent with the image — the person appears to be several metres away, not within arm's reach. The est_dist figure is a bounding-box heuristic and is likely erroneous given the person's apparent size and position in frame. CLIP's ""disabled"" label is unreliable as noted. The wall detection at 0.45m is plausible for background clutter but not a direct obstruction.

Proximity: Person appears visually to be approximately 2–3 metres away; the 0.24m sensor estimate is rejected based on direct visual analysis. No object appears within 1m of the drone.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** While the person does not appear dangerously close, their arms are raised (possibly signalling), and the scene contains clutter and confined space. Hovering in place is the safest response — neither retreating nor advancing — until intent is confirmed and the flight path can be reassessed.",9101.5,1030,291,0.007455,
1,person_near,hazard,claude,0.5,2,16.88,hazard,4,1,1,0,1,1,caution,123,"Description: A person is standing upright in what appears to be an indoor workshop or storage room, facing the camera with arms raised, positioned centrally in the frame at a moderate distance — visually estimated at roughly 2–3 meters away.
Sensor note: The local detector reports est_dist=0.24m which is clearly inconsistent with the visual evidence — the person occupies roughly 30–40% of frame height suggesting a much greater distance (~2–3m). The wall detection at 0.45m is plausible for background clutter but the flight corridor at ~1m altitude appears partially obstructed by the person.
Proximity: Closest object is the person, visually estimated ~2–2.5m; sensor est_dist of 0.24m is rejected as a geometric fallback error — image evidence overrides.
Risk: caution
Pilot suggested action: HOVER",7061.9,1030,199,0.006075,
1,person_near,hazard,claude,0.8,2,16.88,hazard,4,1,1,1,0,1,hazard,174,"Description: A person is standing in what appears to be an indoor workspace or storage room, facing the camera with both arms raised, at an estimated distance of roughly 2–3 metres from the drone.
Sensor note: The local detector estimates 0.24m person distance, which is inconsistent with the visual evidence — the person appears significantly farther away, closer to 2–3m. The wall detection at 0.45m (YOLO-World, lower trust) may reflect clutter or shelving in the background rather than a direct obstacle. CLIP label ""disabled"" is unreliable as noted.
Proximity: Person visually estimated at ~2–3m; closest hard obstacle (shelving/wall behind person) appears at ~3–4m. The 0.24m local detector estimate is almost certainly a false reading — visual analysis overrides.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold visually, but they are actively present in the flight space and the room contains clutter and shelving. Hovering is the prudent action until the person clears the path or intent is confirmed, rather than proceeding forward or landing near them.",8887.7,1030,272,0.00717,
1,person_near,hazard,claude,1.0,2,16.88,hazard,4,1,1,0,1,1,caution,104,"Description: A person is standing in what appears to be an indoor workspace or storage room, with arms raised, positioned relatively close to the camera/drone at approximately 2-3 meters distance.
Sensor note: The local detector estimates person at 0.24m which appears significantly underestimated visually; the person looks closer to 2-3m based on their apparent size and the room context. CLIP scene label ""disabled"" with 0.0 confidence is unreliable as expected.
Proximity: Person is the closest detected object, visually estimated at ~2-3m; wall/background elements are further behind. The 0.24m local detector estimate appears to be a geometric heuristic error.
Risk: caution
Pilot suggested action: HOVER",5631.1,1030,171,0.005655,
1,person_near,hazard,gpt4o,0.0,2,16.88,hazard,5,1,1,1,1,1,hazard,42,"Description: The image shows a person standing indoors, appearing to be close to the camera.
Sensor note: Consistent with local detector's person detection.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",3170.9,840,58,0.00507,
1,person_near,hazard,gpt4o,0.2,2,16.88,hazard,5,1,1,1,1,1,hazard,46,"Description: The image shows a person standing indoors, appearing to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and estimated distance.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",3276.6,840,62,0.00513,
1,person_near,hazard,gpt4o,0.5,2,16.88,hazard,5,1,1,1,1,1,hazard,51,"Description: The image shows a person standing indoors in what appears to be a workshop or storage area, with various objects and furniture around.
Sensor note: Consistent with sensor data indicating a person detected at close range.
Proximity: The person is approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3686.4,840,68,0.00522,
1,person_near,hazard,gpt4o,0.8,2,16.88,hazard,5,1,1,1,1,1,hazard,50,"Description: A person is standing in the room, appearing very close to the camera. The environment seems to be cluttered with various objects and furniture.
Sensor note: Consistent with local detector's indication of a person nearby.
Proximity: The person is approximately 0.3 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3071.8,840,70,0.00525,
1,person_near,hazard,gpt4o,1.0,2,16.88,hazard,5,1,1,1,1,1,hazard,53,"Description: A person is standing in the center of a cluttered indoor space. The surroundings appear crowded with furniture and other items.
Sensor note: Sensors detected a person and a wall; consistent with image.
Proximity: The person appears to be less than 1 meter from the drone.
Risk: Hazard
Pilot suggested action: HOVER",3583.8,840,69,0.005235,
1,person_near,hazard,gpt4o_mini,0.0,2,16.88,hazard,5,1,1,1,1,1,hazard,65,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. 
Proximity: The closest person is approximately 0.24m away, which is very close. 
Risk: hazard 
Pilot suggested action: LAND",4507.2,3607,91,0.000596,
1,person_near,hazard,gpt4o_mini,0.2,2,16.88,hazard,5,1,1,1,1,1,hazard,90,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be approximately 0.24m away based on the local detector's estimate, which is consistent with the visual assessment. 

Sensor note: The local detector indicates a person detected with a confidence of 0.455, which aligns with the visual analysis. YOLO detected a wall at a distance of 0.45m, which is also consistent with the scene.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: LAND",5426.0,3607,127,0.000617,
1,person_near,hazard,gpt4o_mini,0.5,2,16.88,hazard,5,1,1,1,1,1,hazard,85,"Description: The image shows a person standing in an indoor environment with various objects in the background. The person appears to be approximately 0.24m away, and there are walls and furniture visible nearby. 

Sensor note: The local detector indicates a person detected with a confidence of 0.455, which aligns with my visual observation. YOLO detected a wall at a distance of 0.45m, which is consistent with the scene.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: LAND",5119.5,3607,120,0.000613,
1,person_near,hazard,gpt4o_mini,0.8,2,16.88,hazard,5,1,1,1,1,1,hazard,74,"**Description:** The image shows a person standing in a room with various objects in the background, including furniture. The person is relatively close, estimated around 0.24m from the drone's potential flight path.

**Sensor note:** There is a discrepancy; the local detector indicates a person detected with lower confidence, while my visual analysis confirms the presence of a person very close.

**Proximity:** The closest person is approximately 0.24m away.

**Risk:** hazard

**Pilot suggested action:** HOVER",4710.1,3607,105,0.000604,
1,person_near,hazard,gpt4o_mini,1.0,2,16.88,hazard,0,0,0,0,0,0,,8,"I'm sorry, but I can't assist with that.",1740.3,3607,11,0.000548,
1,person_near,hazard,gemini,0.0,2,16.88,hazard,5,1,1,1,1,1,hazard,97,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a ""wall"" at 0.45m, which is likely the person or the background behind them, indicating a close object.
Proximity: The person is visually very close, estimated to be well within 1 meter. The local detector's 0.24m estimate seems plausible.
Risk: hazard
Pilot suggested action: HOVER",2465.3,1075,136,0.000121,
1,person_near,hazard,gemini,0.2,2,16.88,hazard,5,1,1,1,1,1,hazard,101,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, and its estimated distance is consistent with the visual proximity. YOLO-World detected a 'wall' at 0.45m, which is likely the person or the background behind them, but it missed the person as a distinct object.
Proximity: Person is very close, visually estimated to be well within 1 meter. The local detector's 0.24m estimate seems plausible.
Risk: hazard
Pilot suggested action: HOVER",1769.0,1075,140,0.000123,
1,person_near,hazard,gemini,0.5,2,16.88,hazard,5,1,1,1,1,1,hazard,86,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and equipment.
Sensor note: The local detector correctly identifies a person, and its estimated distance is consistent with the visual proximity. YOLO-World detected a 'wall' but missed the primary object (the person).
Proximity: The person is visually estimated to be very close, likely within 0.5m. The local detector's est_dist=0.24m supports this.
Risk: hazard
Pilot suggested action: HOVER",2117.4,1075,125,0.000118,
1,person_near,hazard,gemini,0.8,2,16.88,hazard,5,1,1,1,1,1,hazard,100,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and objects.
Sensor note: The local detector correctly identified a person, though its distance estimate is slightly different from my visual assessment. YOLO-W detected a ""wall"" which is likely the background behind the person, but it missed the person.
Proximity: The person is visually very close, estimated to be well within 1 meter. The local detector's est_dist of 0.24m is consistent with this visual assessment.
Risk: hazard
Pilot suggested action: HOVER",2253.1,1075,135,0.000121,
1,person_near,hazard,gemini,1.0,2,16.88,hazard,5,1,1,1,1,1,hazard,84,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some shelves and furniture.
Sensor note: The local detector correctly identified a person, and its distance estimate is consistent with my visual assessment of very close proximity. YOLO detected a wall, but the dominant feature is the person.
Proximity: Person is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",2355.8,1075,105,0.000112,
