condition,model,scene_label,truth,run,local_ms,local_risk,yolo_ms,clip_label,clip_conf,clip_risk,clip_correct,yolo_meta,risk_correct,detected_risk,quality_score,reply,latency_ms,input_tokens,output_tokens,cost_usd,error
with_clip,claude,person_near,hazard,1,15.56,hazard,380.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",0,caution,3,"Description: A person is standing in the center of the frame at what appears to be a moderate distance, inside a cluttered indoor workshop or storage space, with shelving, equipment, and various objects visible in the background.

Sensor note: The local detector estimates person distance at 0.24m which appears to be a significant underestimate — visually the person appears to be approximately 2–3m away based on their apparent size and proportion relative to the room. The wall detection at 0.45m (YOLO-World, lower trust) likely reflects clutter/shelving depth rather than a solid wall directly ahead.

Proximity: Closest significant object is the person, visually estimated at ~2–3m; sensor est_dist of 0.24m appears to be a bounding-box heuristic false close-read and is overridden by visual analysis.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** The person is visible and centrally positioned but appears to be at a safe-ish distance (~2–3m visually). However, the cluttered environment with shelving, chairs, and equipment at floor and mid-level creates navigational risk. The image quality/lighting is low (brightness 123/255), and the room is cluttered. Hovering in place is the safest action until the person's intent and position can be better",8704.6,1035,300,0.007605,
with_clip,gpt4o,person_near,hazard,1,15.56,hazard,380.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered room, appearing to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and proximity estimate.
Proximity: The person is approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3693.2,844,63,0.005165,
with_clip,gpt4o_mini,person_near,hazard,1,15.56,hazard,380.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered indoor environment, with various objects visible in the background. The person appears to be relatively close to the drone's flight path.

Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. However, the YOLO detection of a wall has a low confidence of 0.28, indicating potential uncertainty in the environment.

Proximity: The closest object/person is approximately 0.24m away, as estimated by the local detector.

Risk: hazard

Pilot suggested action: HOVER",10537.5,3611,122,0.000615,
with_clip,gemini,person_near,hazard,1,15.56,hazard,380.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be a cluttered room.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a wall, which is likely the background behind the person.
Proximity: Person approximately 0.2-0.3m away.
Risk: hazard
Pilot suggested action: HOVER",2154.2,1080,97,0.00011,
no_clip,claude,person_near,hazard,1,15.56,hazard,170.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the camera at close range, arms raised, appearing to be in a warehouse or workshop environment with shelving and equipment visible in the background.
Sensor note: Local detector flags a person at est_dist=0.24m (geometric fallback, lower trust), but visually the person appears closer to 1.5–2.5m based on their apparent size and proportion in frame; the 0.24m estimate appears to be a significant overestimate of closeness. However, the person clearly occupies the central flight corridor and is within hazard range regardless.
Proximity: Person is estimated visually at approximately 1.5–2m directly ahead, well within the <2m obstacle-blocking threshold for the ~1m altitude flight path.
Risk: hazard
Pilot suggested action: HOVER",7575.4,974,186,0.005712,
no_clip,gpt4o,person_near,hazard,1,15.56,hazard,170.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing indoors, appearing to be quite close to the camera. The environment seems cluttered with various objects and furniture.
Sensor note: Consistent with sensor data indicating a person detected at approximately 0.24m.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",3582.2,789,78,0.005115,
no_clip,gpt4o_mini,person_near,hazard,1,15.56,hazard,170.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 

Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. However, the YOLO detection of a wall at 0.45m suggests a potential obstacle.

Proximity: The closest object/person is the individual, estimated to be about 0.24m away.

Risk: hazard

Pilot suggested action: HOVER",9629.9,3556,112,0.000601,
no_clip,gemini,person_near,hazard,1,15.56,hazard,170.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",3891.7,1026,123,0.000114,
with_clip,claude,person_near,hazard,2,39.05,hazard,277.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,4,"Description: A person is standing upright in what appears to be a cluttered indoor workspace/storage room, with both arms raised, positioned roughly in the center-foreground of the frame at an estimated distance of 2–3 meters from the camera.
Sensor note: The local detector estimates person at 0.24m which appears to be a significant overestimate of proximity — visually the person appears considerably farther away, around 2–3m. The wall depth of 0.45m from YOLO-World likely reflects foreground clutter or a near surface rather than the back wall. CLIP's ""cluttered room obstacles / caution"" is consistent with the visible shelving and clutter in the background.
Proximity: Person visually estimated at ~2–3m; closest hard obstacle (clutter/shelving) appears at roughly 1–2m to the sides and rear. The 0.24m est_dist from the local detector is inconsistent with the image and is overridden by visual analysis.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not within the <1m hazard threshold visually, but the room is cluttered with shelving and objects at multiple depths, and the person's raised arms introduce uncertainty about their movement intent. Hovering is the safest response until the situation stabilizes or the person cl",9536.6,1035,300,0.007605,
with_clip,gpt4o,person_near,hazard,2,39.05,hazard,277.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered room, with various objects and furniture around.
Sensor note: Consistent with sensor data indicating a person and cluttered room.
Proximity: The person is very close, approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3271.4,844,65,0.005195,
