cmd_idx,command,cmd_type,n_correct,n_runs,success_rate,wilson_ci_lo,wilson_ci_hi,increment_mean_m,increment_std_m
1,go to 2 metres,explicit,5,5,1.0,0.566,1.0,1.004,0.007
2,climb to 2m,paraphrase,5,5,1.0,0.566,1.0,0.018,0.037
3,go higher,relative_no_num,1,5,0.2,0.036,0.624,4.097,9.804
4,go up a bit,vague_relative,2,5,0.4,0.118,0.769,-5.415,12.614
5,ascend slowly to a safe height,abstract,2,5,0.4,0.118,0.769,1.495,2.74
6,I want it higher,indirect,1,5,0.2,0.036,0.624,0.105,0.157
REF_ReAct,"Yao, S., Zhao, J., Yu, D., Du, N., Shafran, I., Narasimhan, K., & Cao, Y. (2022). ReAct: Synergizing Reasoning and Acting in Language Models. arXiv:2210.03629.",,,,,,,,
REF_Vemprala2023,"Vemprala, S., Bonatti, R., Bucker, A., & Kapoor, A. (2023). ChatGPT for Robotics: Design Principles and Model Abilities. arXiv:2306.17582.",,,,,,,,
REF_InnerMonologue,"Huang, W., et al. (2022). Inner Monologue: Embodied Reasoning through Planning with Language Models. arXiv:2207.05608.",,,,,,,,
REF_PromptEngineering,"White, J., et al. (2023). A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT. arXiv:2302.11382. Conservative default-action policy for handling magnitude-unspecified directional commands in LLM-robot interfaces.",,,,,,,,
OVERALL,all commands,,16,30,0.533,0.361,0.698,0.218,7.209
