scene_id,scene_label,truth,model,technique,run,local_ms,local_risk,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,yolo_meta,clip_label,clip_risk,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,zero_shot,1,16.77,hazard,2,1,1,0,0,0,,,205,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,9268.2,599,300,0.006297,
1,person_near,hazard,gpt4o,zero_shot,1,16.77,hazard,5,1,1,1,1,1,hazard,LAND,102,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3792.1,493,132,0.004445,
1,person_near,hazard,gpt4o_mini,zero_shot,1,16.77,hazard,5,1,1,1,1,1,hazard,LAND,109,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3268.0,3260,135,0.00057,
1,person_near,hazard,gemini,zero_shot,1,16.77,hazard,5,1,1,1,1,1,hazard,HOVER,136,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3893.8,704,178,0.000106,
1,person_near,hazard,claude,few_shot_3,1,16.77,hazard,4,1,1,1,0,1,hazard,PITCH_BACK,199,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,8500.4,809,298,0.006897,
1,person_near,hazard,gpt4o,few_shot_3,1,16.77,hazard,5,1,1,1,1,1,hazard,PITCH_BACK,61,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2463.8,679,78,0.004565,
1,person_near,hazard,gpt4o_mini,few_shot_3,1,16.77,hazard,5,1,1,1,1,1,hazard,LAND,61,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2861.4,3446,79,0.000564,
1,person_near,hazard,gemini,few_shot_3,1,16.77,hazard,5,1,1,1,1,1,hazard,PITCH_BACK,125,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2762.5,892,178,0.00012,
1,person_near,hazard,claude,cot,1,16.77,hazard,2,1,1,0,0,0,,,202,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,9112.9,714,300,0.006642,
1,person_near,hazard,gpt4o,cot,1,16.77,hazard,4,1,1,1,0,1,hazard,HOVER,178,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,5014.0,596,225,0.006355,
1,person_near,hazard,gpt4o_mini,cot,1,16.77,hazard,2,1,1,0,0,0,safe,,230,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,4405.1,3363,300,0.000684,
1,person_near,hazard,gemini,cot,1,16.77,hazard,2,1,1,0,0,0,,,226,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3075.6,811,300,0.000151,
1,person_near,hazard,claude,structured,1,16.77,hazard,2,1,1,0,0,0,,,163,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,8290.6,714,300,0.006642,
1,person_near,hazard,gpt4o,structured,1,16.77,hazard,5,1,1,1,1,1,hazard,LAND,41,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2454.2,591,111,0.00462,
1,person_near,hazard,gpt4o_mini,structured,1,16.77,hazard,5,1,1,1,1,1,hazard,HOVER,49,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3174.3,3358,122,0.000577,
1,person_near,hazard,gemini,structured,1,16.77,hazard,5,1,1,1,1,1,hazard,HOVER,84,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2768.1,820,191,0.000119,
1,person_near,hazard,claude,react,1,16.77,hazard,2,1,1,0,0,0,safe,,195,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,9010.0,699,300,0.006597,
1,person_near,hazard,gpt4o,react,1,16.77,hazard,5,1,1,1,1,1,hazard,HOVER,130,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3171.0,585,162,0.005355,
1,person_near,hazard,gpt4o_mini,react,1,16.77,hazard,5,1,1,1,1,1,hazard,STOP,122,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3196.6,3352,175,0.000608,
1,person_near,hazard,gemini,react,1,16.77,hazard,4,1,1,1,0,1,hazard,HOVER,154,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2749.4,797,216,0.000125,
1,person_near,hazard,claude,zero_shot,2,43.33,hazard,3,1,1,1,0,0,hazard,,196,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,8697.8,599,299,0.006282,
1,person_near,hazard,gpt4o,zero_shot,2,43.33,hazard,5,1,1,1,1,1,hazard,LAND,116,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3581.5,493,146,0.004655,
1,person_near,hazard,gpt4o_mini,zero_shot,2,43.33,hazard,5,1,1,1,1,1,hazard,LAND,107,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,3280.3,3260,134,0.000569,
1,person_near,hazard,gemini,zero_shot,2,43.33,hazard,5,1,1,1,1,1,hazard,HOVER,136,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2662.1,704,178,0.000106,
1,person_near,hazard,claude,few_shot_3,2,43.33,hazard,3,1,1,1,0,0,hazard,,196,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,8599.6,809,300,0.006927,
1,person_near,hazard,gpt4o,few_shot_3,2,43.33,hazard,5,1,1,1,1,1,hazard,PITCH_BACK,58,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2557.5,679,73,0.00449,
1,person_near,hazard,gpt4o_mini,few_shot_3,2,43.33,hazard,5,1,1,1,1,1,hazard,STOP,65,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2727.1,3446,83,0.000567,
1,person_near,hazard,gemini,few_shot_3,2,43.33,hazard,5,1,1,1,1,1,hazard,PITCH_BACK,125,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,2498.8,892,178,0.00012,
1,person_near,hazard,claude,cot,2,43.33,hazard,3,1,1,1,0,0,hazard,,203,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",disabled,disabled,9009.6,714,300,0.006642,
