scene_id,scene_label,truth,model,technique,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,yolo_meta,clip_label,clip_risk,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,zero_shot,1,4,1,1,1,0,1,hazard,HOVER,179,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,9546.7,271,300,0.005313,
1,person_near,hazard,gpt4o,zero_shot,1,4,1,1,0,1,1,caution,HOVER,41,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3364.8,206,52,0.00181,
1,person_near,hazard,gpt4o_mini,zero_shot,1,3,1,0,0,1,1,caution,HOVER,46,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3081.8,2973,57,0.00048,
1,person_near,hazard,gemini,zero_shot,1,4,1,1,0,1,1,caution,HOVER,131,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2563.7,403,170,8.1e-05,
1,person_near,hazard,claude,few_shot_3,1,3,1,1,0,0,1,caution,HOVER,169,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8189.6,462,276,0.005526,
1,person_near,hazard,gpt4o,few_shot_3,1,4,1,1,0,1,1,caution,HOVER,43,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2147.8,373,61,0.00278,
1,person_near,hazard,gpt4o_mini,few_shot_3,1,4,1,1,0,1,1,caution,HOVER,42,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2457.5,3140,57,0.000505,
1,person_near,hazard,gemini,few_shot_3,1,4,1,1,0,1,1,caution,HOVER,15,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,1642.2,573,26,5.1e-05,
1,person_near,hazard,claude,cot,1,3,1,1,1,0,0,hazard,,168,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8914.0,367,300,0.005601,
1,person_near,hazard,gpt4o,cot,1,4,1,1,0,1,1,caution,HOVER,123,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3266.9,293,167,0.00397,
1,person_near,hazard,gpt4o_mini,cot,1,4,1,1,0,1,1,caution,HOVER,145,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4709.2,3060,193,0.000575,
1,person_near,hazard,gemini,cot,1,4,1,1,1,0,1,hazard,PITCH_BACK,166,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2367.1,494,222,0.000104,
1,person_near,hazard,claude,structured,1,5,1,1,1,1,1,hazard,HOVER,55,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4293.7,359,144,0.003237,
1,person_near,hazard,gpt4o,structured,1,4,1,1,0,1,1,caution,HOVER,29,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2350.5,278,78,0.00256,
1,person_near,hazard,gpt4o_mini,structured,1,4,1,1,0,1,1,caution,HOVER,30,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3276.9,3045,80,0.000505,
1,person_near,hazard,gemini,structured,1,4,1,1,0,1,1,caution,HOVER,35,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2153.0,488,99,6.6e-05,
1,person_near,hazard,claude,react,1,2,1,1,0,0,0,caution,,178,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8702.6,359,300,0.005577,
1,person_near,hazard,gpt4o,react,1,4,1,1,0,1,1,caution,HOVER,118,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3172.0,285,152,0.003705,
1,person_near,hazard,gpt4o_mini,react,1,3,1,0,0,1,1,caution,HOVER,100,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4095.9,3052,130,0.000536,
1,person_near,hazard,gemini,react,1,4,1,1,0,1,1,caution,HOVER,129,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2153.9,484,177,8.9e-05,
1,person_near,hazard,claude,zero_shot,2,4,1,1,1,0,1,hazard,HOVER,189,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8923.0,271,300,0.005313,
1,person_near,hazard,gpt4o,zero_shot,2,3,1,0,0,1,1,caution,HOVER,45,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2148.9,206,57,0.001885,
1,person_near,hazard,gpt4o_mini,zero_shot,2,3,1,0,0,1,1,caution,HOVER,46,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2867.1,2973,57,0.00048,
1,person_near,hazard,gemini,zero_shot,2,4,1,1,0,1,1,caution,HOVER,127,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2155.4,403,161,7.9e-05,
1,person_near,hazard,claude,few_shot_3,2,4,1,1,1,0,1,hazard,HOVER,175,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8701.5,462,281,0.005601,
1,person_near,hazard,gpt4o,few_shot_3,2,4,1,1,0,1,1,caution,HOVER,43,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2556.6,373,61,0.00278,
1,person_near,hazard,gpt4o_mini,few_shot_3,2,4,1,1,0,1,1,caution,HOVER,41,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2970.4,3140,57,0.000505,
1,person_near,hazard,gemini,few_shot_3,2,4,1,1,0,1,1,caution,HOVER,15,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,1835.9,573,26,5.1e-05,
1,person_near,hazard,claude,cot,2,2,1,1,0,0,0,caution,,175,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,9018.9,367,300,0.005601,
1,person_near,hazard,gpt4o,cot,2,4,1,1,0,1,1,caution,HOVER,120,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3294.8,293,165,0.00394,
1,person_near,hazard,gpt4o_mini,cot,2,4,1,1,0,1,1,caution,HOVER,149,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,6740.0,3060,197,0.000577,
1,person_near,hazard,gemini,cot,2,4,1,1,1,0,1,hazard,PITCH_BACK,166,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2256.2,494,222,0.000104,
1,person_near,hazard,claude,structured,2,5,1,1,1,1,1,hazard,HOVER,53,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4196.1,359,142,0.003207,
1,person_near,hazard,gpt4o,structured,2,4,1,1,0,1,1,caution,HOVER,29,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2352.1,278,78,0.00256,
1,person_near,hazard,gpt4o_mini,structured,2,4,1,1,0,1,1,caution,HOVER,30,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2867.0,3045,80,0.000505,
1,person_near,hazard,gemini,structured,2,4,1,1,0,1,1,caution,HOVER,35,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,1950.0,488,99,6.6e-05,
1,person_near,hazard,claude,react,2,2,1,1,0,0,0,caution,,158,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,9009.1,359,300,0.005577,
1,person_near,hazard,gpt4o,react,2,4,1,1,0,1,1,caution,HOVER,108,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3069.6,285,138,0.003495,
1,person_near,hazard,gpt4o_mini,react,2,3,1,0,0,1,1,caution,HOVER,103,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3890.1,3052,141,0.000542,
1,person_near,hazard,gemini,react,2,4,1,1,1,0,1,hazard,PITCH_BACK,156,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2157.9,484,245,0.00011,
1,person_near,hazard,claude,zero_shot,3,3,1,1,1,0,0,hazard,,176,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,7801.1,271,300,0.005313,
1,person_near,hazard,gpt4o,zero_shot,3,3,1,0,0,1,1,caution,HOVER,43,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2519.8,206,55,0.001855,
1,person_near,hazard,gpt4o_mini,zero_shot,3,3,1,0,0,1,1,caution,HOVER,46,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2570.2,2973,57,0.00048,
1,person_near,hazard,gemini,zero_shot,3,4,1,1,0,1,1,caution,HOVER,131,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2033.5,403,170,8.1e-05,
1,person_near,hazard,claude,few_shot_3,3,4,1,1,1,0,1,hazard,HOVER,166,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,7901.4,462,279,0.005571,
1,person_near,hazard,gpt4o,few_shot_3,3,4,1,1,0,1,1,caution,HOVER,45,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2444.5,373,63,0.00281,
1,person_near,hazard,gpt4o_mini,few_shot_3,3,4,1,1,0,1,1,caution,HOVER,44,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2799.0,3140,59,0.000506,
1,person_near,hazard,gemini,few_shot_3,3,4,1,1,0,1,1,caution,HOVER,15,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,1662.7,573,26,5.1e-05,
1,person_near,hazard,claude,cot,3,2,1,1,0,0,0,caution,,166,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8788.4,367,300,0.005601,
1,person_near,hazard,gpt4o,cot,3,4,1,1,0,1,1,caution,HOVER,120,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3171.8,293,165,0.00394,
1,person_near,hazard,gpt4o_mini,cot,3,4,1,1,0,1,1,caution,HOVER,143,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,5324.4,3060,192,0.000574,
1,person_near,hazard,gemini,cot,3,4,1,1,1,0,1,hazard,PITCH_BACK,166,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2972.1,494,222,0.000104,
1,person_near,hazard,claude,structured,3,5,1,1,1,1,1,hazard,HOVER,55,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4300.6,359,143,0.003222,
1,person_near,hazard,gpt4o,structured,3,4,1,1,0,1,1,caution,HOVER,29,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2558.7,278,78,0.00256,
1,person_near,hazard,gpt4o_mini,structured,3,4,1,1,0,1,1,caution,HOVER,30,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3274.9,3045,80,0.000505,
1,person_near,hazard,gemini,structured,3,4,1,1,0,1,1,caution,HOVER,35,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3690.3,488,99,6.6e-05,
1,person_near,hazard,claude,react,3,3,1,1,1,0,0,hazard,,172,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,10748.5,359,300,0.005577,
1,person_near,hazard,gpt4o,react,3,4,1,1,0,1,1,caution,HOVER,107,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2767.2,285,140,0.003525,
1,person_near,hazard,gpt4o_mini,react,3,3,1,0,0,1,1,caution,HOVER,108,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3749.4,3052,146,0.000545,
1,person_near,hazard,gemini,react,3,4,1,1,1,0,1,hazard,PITCH_BACK,156,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2702.0,484,245,0.00011,
1,person_near,hazard,claude,zero_shot,4,4,1,1,1,0,1,hazard,HOVER,172,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8113.0,271,291,0.005178,
1,person_near,hazard,gpt4o,zero_shot,4,4,1,1,0,1,1,caution,HOVER,50,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2283.7,206,64,0.00199,
1,person_near,hazard,gpt4o_mini,zero_shot,4,3,1,0,0,1,1,caution,HOVER,46,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2935.2,2973,57,0.00048,
1,person_near,hazard,gemini,zero_shot,4,4,1,1,0,1,1,caution,HOVER,127,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2544.7,403,161,7.9e-05,
1,person_near,hazard,claude,few_shot_3,4,3,1,1,0,0,1,caution,HOVER,172,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8311.2,462,280,0.005586,
1,person_near,hazard,gpt4o,few_shot_3,4,4,1,1,0,1,1,caution,HOVER,45,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2565.5,373,63,0.00281,
1,person_near,hazard,gpt4o_mini,few_shot_3,4,4,1,1,0,1,1,caution,HOVER,42,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2756.9,3140,57,0.000505,
1,person_near,hazard,gemini,few_shot_3,4,4,1,1,0,1,1,caution,HOVER,15,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,1845.5,573,26,5.1e-05,
1,person_near,hazard,claude,cot,4,2,1,1,0,0,0,safe,,176,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,8909.3,367,300,0.005601,
1,person_near,hazard,gpt4o,cot,4,4,1,1,0,1,1,caution,HOVER,108,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,3581.4,293,147,0.00367,
1,person_near,hazard,gpt4o_mini,cot,4,4,1,1,0,1,1,caution,HOVER,143,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,4320.6,3060,192,0.000574,
1,person_near,hazard,gemini,cot,4,2,1,1,0,0,0,safe,,232,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,2646.4,494,300,0.000127,
